"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SYNE2",1.98959325464696e-37,0.400184737555075,0.435,0.152,2.76016272217173e-33,"S/G2","SYNE2"
"KPNA2",5.77829844744328e-37,0.530682971462334,0.734,0.404,8.01623343613807e-33,"S/G2","KPNA2"
"CTNNAL1",8.35000824579253e-37,0.492439972116899,0.653,0.318,1.1583966439388e-32,"S/G2","CTNNAL1"
"HSPB11",9.14113386200868e-37,0.514033323583588,0.767,0.439,1.26814950067646e-32,"S/G2","HSPB11"
"KIFC1",1.10040493979521e-36,0.290285159996638,0.293,0.073,1.5265917729779e-32,"S/G2","KIFC1"
"ARHGAP11A",1.11075188346578e-36,0.335335143354088,0.366,0.109,1.54094608793208e-32,"S/G2","ARHGAP11A"
"UBE2S",1.35538559177295e-36,0.452848456522293,0.779,0.424,1.88032643146661e-32,"S/G2","UBE2S"
"HJURP",1.91939086025039e-36,0.327856522571079,0.329,0.091,2.66277094042537e-32,"S/G2","HJURP"
"BUB3",2.8931274035955e-36,0.523530247631213,0.822,0.5,4.01363564700804e-32,"S/G2","BUB3"
"CCDC109B",7.29338229227589e-36,0.489515102709309,0.568,0.259,1.01181092540743e-31,"S/G2","CCDC109B"
"RAN",1.15888637075697e-35,0.456665737506118,0.997,0.987,1.60772306215114e-31,"S/G2","RAN"
"CMC2",1.25255874516011e-35,0.507836844747948,0.816,0.49,1.73767474716063e-31,"S/G2","CMC2"
"NCAPH",1.69509472079205e-35,0.276431192765782,0.254,0.058,2.35160490615481e-31,"S/G2","NCAPH"
"SNRNP25",3.70638802745683e-35,0.511602550673164,0.795,0.49,5.14187211049086e-31,"S/G2","SNRNP25"
"GGCT",1.11994054976968e-34,0.537262004018057,0.792,0.492,1.55369352469548e-30,"S/G2","GGCT"
"TUBG1",1.58571656312954e-34,0.443077857898762,0.689,0.354,2.19986458802961e-30,"S/G2","TUBG1"
"MXD3",6.87186096811079e-34,0.322435560065386,0.338,0.101,9.53333272106009e-30,"S/G2","MXD3"
"PSMC3IP",1.11688005354501e-33,0.300615615840686,0.35,0.108,1.54944769828299e-29,"S/G2","PSMC3IP"
"CDCA5",1.15571519812812e-33,0.252439609182771,0.227,0.049,1.60332369436314e-29,"S/G2","CDCA5"
"HMGA1",1.88131710716983e-33,0.586481083021833,0.982,0.872,2.60995122277671e-29,"S/G2","HMGA1"
"APOBEC3B",2.54390787222743e-33,0.341875870416364,0.36,0.115,3.52916339114111e-29,"S/G2","APOBEC3B"
"EMP2",2.86281924730316e-33,0.326363997316673,0.32,0.096,3.97158914178367e-29,"S/G2","EMP2"
"POC1A",2.86694301087745e-33,0.31223198177122,0.29,0.08,3.97731003899029e-29,"S/G2","POC1A"
"SMC3",5.44612868858343e-33,0.541941169825488,0.725,0.451,7.55541432967179e-29,"S/G2","SMC3"
"CKAP2",7.63617280422678e-33,0.401575866001039,0.647,0.31,1.05936625313038e-28,"S/G2","CKAP2"
"SNRPD1",9.65345405588785e-33,0.488795985910132,0.979,0.871,1.33922368117332e-28,"S/G2","SNRPD1"
"COPS3",1.50705476191062e-32,0.447670932765958,0.704,0.383,2.0907370711986e-28,"S/G2","COPS3"
"CALM2",1.78680296910271e-32,0.455355325112036,1,0.974,2.47883175903619e-28,"S/G2","CALM2"
"HIRIP3",2.43580706258895e-32,0.39012859154754,0.435,0.167,3.37919513792966e-28,"S/G2","HIRIP3"
"MZT1",2.92545469864303e-32,0.464774359423738,0.659,0.338,4.05848330342748e-28,"S/G2","MZT1"
"RFC5",3.52502599512473e-32,0.330940986560458,0.341,0.109,4.89026856303653e-28,"S/G2","RFC5"
"ZWILCH",3.76907908522488e-32,0.359978392736402,0.456,0.179,5.22884341493248e-28,"S/G2","ZWILCH"
"HMGN1",5.72361868928167e-32,0.409831681812336,0.997,0.977,7.94037620764046e-28,"S/G2","HMGN1"
"MCM7",5.75082535135824e-32,0.435110992108691,0.529,0.233,7.97812000993928e-28,"S/G2","MCM7"
"CDKN1A",7.53225409929491e-32,0.595726616880303,0.725,0.416,1.04494961119518e-27,"S/G2","CDKN1A"
"CENPH",9.54480740828796e-32,0.401359701671683,0.505,0.214,1.32415113175179e-27,"S/G2","CENPH"
"CDC6",1.25000173819701e-31,0.307153393350838,0.314,0.094,1.73412741140071e-27,"S/G2","CDC6"
"C12orf75",1.55471498352119e-31,0.427776641669348,0.671,0.343,2.15685609663894e-27,"S/G2","C12orf75"
"RPL39L",4.92541134462635e-31,0.414759211132206,0.523,0.235,6.83302315840013e-27,"S/G2","RPL39L"
"SUPT16H",6.38816782223939e-31,0.499388716047702,0.722,0.449,8.86230521979271e-27,"S/G2","SUPT16H"
"ITGB3BP",1.19111826129271e-30,0.307820635881276,0.344,0.114,1.65243836389138e-26,"S/G2","ITGB3BP"
"SRSF7",3.64981764043025e-30,0.51973980638409,0.9,0.658,5.06339201256889e-26,"S/G2","SRSF7"
"CDT1",4.26980449036984e-30,0.256116487636292,0.26,0.07,5.92349976949008e-26,"S/G2","CDT1"
"TUBB4B",9.02634477613056e-30,0.496039162488304,0.897,0.672,1.25222481079259e-25,"S/G2","TUBB4B"
"DSN1",1.81094856948181e-29,0.303476532002517,0.302,0.094,2.51232895044212e-25,"S/G2","DSN1"
"PMAIP1",3.12696138980772e-29,0.573930589826283,0.792,0.516,4.33803353608026e-25,"S/G2","PMAIP1"
"FANCI",3.54754648176274e-29,0.260626444912732,0.275,0.079,4.92151123414945e-25,"S/G2","FANCI"
"HES4",4.25620453051707e-29,0.507661809342677,0.571,0.3,5.90463254518633e-25,"S/G2","HES4"
"RFC3",4.89474677054493e-29,0.312760931733213,0.317,0.102,6.79048219477699e-25,"S/G2","RFC3"
"TFDP1",4.92985956957116e-29,0.388123891960991,0.502,0.226,6.83919418086607e-25,"S/G2","TFDP1"
"RAD23A",9.28669394414726e-29,0.494628003479085,0.816,0.584,1.28834305087155e-24,"S/G2","RAD23A"
"SRSF3",1.76556952489086e-28,0.453091646526781,0.985,0.889,2.44937460188109e-24,"S/G2","SRSF3"
"SPDL1",2.01444573830635e-28,0.375688595500734,0.459,0.192,2.7946405727524e-24,"S/G2","SPDL1"
"RHNO1",3.2605744025381e-28,0.358502997919091,0.486,0.214,4.52339486864111e-24,"S/G2","RHNO1"
"TMEM237",3.29195749685764e-28,0.463795640843442,0.725,0.434,4.56693263539061e-24,"S/G2","TMEM237"
"HAT1",3.78164344707353e-28,0.419290407838203,0.674,0.379,5.2462739541251e-24,"S/G2","HAT1"
"KIAA1524",3.96679984029534e-28,0.291794005893495,0.317,0.104,5.50314141844172e-24,"S/G2","KIAA1524"
"CCNB2",5.47447505784707e-28,0.263026197533061,0.502,0.206,7.59473924775125e-24,"S/G2","CCNB2"
"PARP2",5.91618325334058e-28,0.329066021758946,0.387,0.147,8.20752102735939e-24,"S/G2","PARP2"
"PA2G4",6.43311122213817e-28,0.493193279205988,0.834,0.62,8.92465519847228e-24,"S/G2","PA2G4"
"PXMP2",7.89752367138868e-28,0.413232964360869,0.659,0.355,1.09562345893175e-23,"S/G2","PXMP2"
"CDK2",1.07517749432961e-27,0.290343926775639,0.305,0.099,1.49159373788346e-23,"S/G2","CDK2"
"SRSF2",1.17448985602639e-27,0.471240491618374,0.891,0.682,1.62936977726541e-23,"S/G2","SRSF2"
"DSCC1",1.19521797663473e-27,0.26179175316846,0.254,0.071,1.65812589898536e-23,"S/G2","DSCC1"
"CEP78",1.54588820050974e-27,0.338953203749897,0.369,0.14,2.14461070056717e-23,"S/G2","CEP78"
"LMNB1",1.64526497792439e-27,0.381934325968639,0.526,0.245,2.28247610387451e-23,"S/G2","LMNB1"
"POLR3K",2.42448162179948e-27,0.346287679060174,0.505,0.23,3.36348335392241e-23,"S/G2","POLR3K"
"FHL2",5.03608367902951e-27,0.624349830984724,0.834,0.622,6.98655888791765e-23,"S/G2","FHL2"
"NUDT1",5.11419698300665e-27,0.409753164026377,0.619,0.331,7.09492547452513e-23,"S/G2","NUDT1"
"POLD3",6.2955618985671e-27,0.270676206621509,0.281,0.087,8.73383302188214e-23,"S/G2","POLD3"
"CASC5",7.69753204912396e-27,0.283566732079396,0.311,0.103,1.06787862117497e-22,"S/G2","CASC5"
"EIF4EBP1",9.99090968896833e-27,0.480317066936119,0.782,0.517,1.38603890115058e-22,"S/G2","EIF4EBP1"
"CDKN3",1.13311734680072e-26,0.324421056912355,0.483,0.203,1.57197369521665e-22,"S/G2","CDKN3"
"HELLS",1.21940428832661e-26,0.313530531763849,0.378,0.145,1.69167956919551e-22,"S/G2","HELLS"
"PSMG1",1.72179841741186e-26,0.406848437025955,0.58,0.305,2.38865094447547e-22,"S/G2","PSMG1"
"CMSS1",2.17382841896159e-26,0.373844895517045,0.583,0.295,3.01575216562541e-22,"S/G2","CMSS1"
"FBL",3.18973325302531e-26,0.393324716611955,0.707,0.412,4.42511694192201e-22,"S/G2","FBL"
"DCK",3.33376152507308e-26,0.374584834007885,0.465,0.212,4.62492736373388e-22,"S/G2","DCK"
"NCAPH2",4.09273058916435e-26,0.298526039013909,0.296,0.099,5.6778451463477e-22,"S/G2","NCAPH2"
"YEATS4",6.06161015159361e-26,0.374717308486948,0.514,0.251,8.40927176330581e-22,"S/G2","YEATS4"
"SSRP1",6.34823113507754e-26,0.391997848079558,0.692,0.405,8.80690105369308e-22,"S/G2","SSRP1"
"MTHFD2",6.74380046372888e-26,0.295622939250008,0.387,0.149,9.35567438333107e-22,"S/G2","MTHFD2"
"RHEB",6.77809437690346e-26,0.458767805926767,0.949,0.816,9.40325032907817e-22,"S/G2","RHEB"
"DONSON",6.84011716109362e-26,0.299328619624005,0.332,0.119,9.48929453758518e-22,"S/G2","DONSON"
"CCP110",1.31906535329945e-25,0.306097086045245,0.308,0.107,1.82993936463232e-21,"S/G2","CCP110"
"PRKDC",2.05815926801864e-25,0.448624469982388,0.737,0.473,2.85528435252226e-21,"S/G2","PRKDC"
"BRIX1",3.16710456960051e-25,0.394630775055552,0.58,0.31,4.39372416940678e-21,"S/G2","BRIX1"
"RFC4",7.23921963781576e-25,0.328250509534757,0.432,0.183,1.00429694035418e-20,"S/G2","RFC4"
"CDKN2D",8.58378158413098e-25,0.26465728311199,0.248,0.075,1.19082801916649e-20,"S/G2","CDKN2D"
"DERA",1.02937378462112e-24,0.393818998570888,0.625,0.35,1.42805025140488e-20,"S/G2","DERA"
"KLF6",1.27747661156342e-24,0.384654088510721,0.508,0.251,1.77224330322194e-20,"S/G2","KLF6"
"PHLDA2",1.52357449260807e-24,0.525648211209108,0.934,0.758,2.11365489359518e-20,"S/G2","PHLDA2"
"PHLDA1",1.66195795686379e-24,0.538672432652621,0.976,0.945,2.30563427355714e-20,"S/G2","PHLDA1"
"KPNB1",1.80812828526869e-24,0.37400467930035,0.707,0.422,2.50841637015325e-20,"S/G2","KPNB1"
"MCM3",1.84882186931051e-24,0.352553691620555,0.423,0.185,2.56487057929447e-20,"S/G2","MCM3"
"UBR7",1.91705308448909e-24,0.251329751464997,0.269,0.086,2.65952774411171e-20,"S/G2","UBR7"
"HAUS8",2.00079516571998e-24,0.300134804650938,0.35,0.136,2.77570313340333e-20,"S/G2","HAUS8"
"ACYP1",2.0425357124182e-24,0.336295157200646,0.39,0.163,2.83360979383776e-20,"S/G2","ACYP1"
"MRPL17",2.81721343161278e-24,0.418638630786416,0.631,0.371,3.90832019367641e-20,"S/G2","MRPL17"
"PSMC3",3.05739809588094e-24,0.426868325883172,0.9,0.717,4.24152837841563e-20,"S/G2","PSMC3"
"RAD21",4.51288645659654e-24,0.364417483165713,0.64,0.359,6.26072738123638e-20,"S/G2","RAD21"
"BRCA1",4.9526894759462e-24,0.255600061496053,0.293,0.101,6.87086610998016e-20,"S/G2","BRCA1"
"MIS18BP1",6.34310656488246e-24,0.335004847624529,0.396,0.165,8.79979173746144e-20,"S/G2","MIS18BP1"
"BTG3",7.11070627095076e-24,0.434961193299983,0.565,0.317,9.86468280968998e-20,"S/G2","BTG3"
"IDH2",9.46731268704671e-24,0.373369057897076,0.677,0.397,1.31340028907399e-19,"S/G2","IDH2"
"HAUS1",9.87427334511656e-24,0.401644133675685,0.713,0.459,1.36985794116802e-19,"S/G2","HAUS1"
"NUDT15",1.16422624149745e-23,0.334528732686945,0.429,0.192,1.61513106482942e-19,"S/G2","NUDT15"
"ARL6IP6",1.4030306074006e-23,0.417774941138463,0.634,0.385,1.94642436164685e-19,"S/G2","ARL6IP6"
"SAE1",2.0207569979608e-23,0.380995344291337,0.568,0.311,2.80339618327102e-19,"S/G2","SAE1"
"CDKN2C",2.08899850317077e-23,0.316645322692397,0.462,0.213,2.8980676234488e-19,"S/G2","CDKN2C"
"IER2",2.64982699949238e-23,0.471889897277432,0.613,0.361,3.67610499639577e-19,"S/G2","IER2"
"GPN3",4.92442081530573e-23,0.361181351916236,0.517,0.268,6.83164899707363e-19,"S/G2","GPN3"
"PTGES3",6.44605411387841e-23,0.376997467196851,0.964,0.882,8.94261087218352e-19,"S/G2","PTGES3"
"PLP2",8.8057759449505e-23,0.471023748843843,0.937,0.788,1.22162529684298e-18,"S/G2","PLP2"
"RNASEH2B",1.05352853398024e-22,0.343900573379845,0.474,0.232,1.46156013519078e-18,"S/G2","RNASEH2B"
"PDCD5",1.18623023220567e-22,0.447887744449022,0.87,0.76,1.64565720113893e-18,"S/G2","PDCD5"
"HSPD1",1.28664539636365e-22,0.424861096260966,0.97,0.888,1.78496315837528e-18,"S/G2","HSPD1"
"IL11",1.42897836088695e-22,0.355484358395705,0.302,0.111,1.98242168005847e-18,"S/G2","IL11"
"ICMT",1.69564330953875e-22,0.285199435987268,0.347,0.14,2.35236596332311e-18,"S/G2","ICMT"
"EZH2",4.18820648285748e-22,0.316768310009943,0.356,0.148,5.81029885366818e-18,"S/G2","EZH2"
"NETO2",7.14838158601106e-22,0.402613660626151,0.619,0.363,9.91694977427314e-18,"S/G2","NETO2"
"NSMCE4A",1.01500130221054e-21,0.364489825177637,0.535,0.289,1.40811130655668e-17,"S/G2","NSMCE4A"
"NASP",1.02730233625722e-21,0.39204666374663,0.601,0.348,1.42517653108963e-17,"S/G2","NASP"
"CENPV",1.42269321537591e-21,0.429950334591795,0.752,0.494,1.973702297691e-17,"S/G2","CENPV"
"MZT2A",2.03201567953891e-21,0.409102371925127,0.734,0.487,2.81901535222433e-17,"S/G2","MZT2A"
"TNFRSF12A",2.27440406084995e-21,0.516197523372498,0.967,0.926,3.15528075361714e-17,"S/G2","TNFRSF12A"
"POP7",2.4017931155319e-21,0.352772615911832,0.607,0.351,3.33200758917741e-17,"S/G2","POP7"
"TIMM21",2.40424098152426e-21,0.285460932665311,0.411,0.186,3.33540351366861e-17,"S/G2","TIMM21"
"MAGOHB",2.56708287869047e-21,0.382617551454132,0.58,0.335,3.56131407760728e-17,"S/G2","MAGOHB"
"DCTPP1",3.05171502776492e-21,0.338129659871812,0.64,0.371,4.23364425801828e-17,"S/G2","DCTPP1"
"BARD1",4.19789511091853e-21,0.281841132216531,0.347,0.145,5.82373988737727e-17,"S/G2","BARD1"
"PIN1",4.38060521246918e-21,0.388340635788803,0.903,0.799,6.07721361125849e-17,"S/G2","PIN1"
"HNRNPAB",4.97302271880378e-21,0.384856910774329,0.674,0.429,6.89907441779648e-17,"S/G2","HNRNPAB"
"BAZ1B",5.81379704664393e-21,0.318086516609597,0.535,0.286,8.06548064280912e-17,"S/G2","BAZ1B"
"KIF11",6.36840004707097e-21,0.27075909518283,0.266,0.094,8.83488138530156e-17,"S/G2","KIF11"
"RBM17",6.56088091960461e-21,0.373150592423375,0.734,0.479,9.10191009976748e-17,"S/G2","RBM17"
"NXT1",8.31629499647628e-21,0.35156067692512,0.508,0.271,1.15371960486115e-16,"S/G2","NXT1"
"TRA2B",8.98433855010399e-21,0.398516783585482,0.743,0.504,1.24639728705593e-16,"S/G2","TRA2B"
"CISD2",9.66904126798284e-21,0.402039160020795,0.792,0.591,1.34138609510726e-16,"S/G2","CISD2"
"H3F3B",1.15798878975397e-20,0.283967624678368,1,1,1.60647784802568e-16,"S/G2","H3F3B"
"NOG",1.42822528561965e-20,0.312571785028187,0.36,0.156,1.98137693874014e-16,"S/G2","NOG"
"TUBB6",1.88658655304813e-20,0.383337808255839,0.637,0.387,2.61726152504367e-16,"S/G2","TUBB6"
"UCHL5",1.98174413887198e-20,0.293821483797662,0.381,0.171,2.7492736438571e-16,"S/G2","UCHL5"
"FN3KRP",1.99864425212742e-20,0.318332217774019,0.435,0.211,2.77271917097637e-16,"S/G2","FN3KRP"
"CHRAC1",2.96984841663436e-20,0.278504929601995,0.35,0.151,4.12007070839685e-16,"S/G2","CHRAC1"
"DCBLD2",3.72773985923266e-20,0.443101973375032,0.934,0.834,5.17149350671347e-16,"S/G2","DCBLD2"
"C19orf43",4.54392410718274e-20,0.335274452924406,0.961,0.915,6.30378591389461e-16,"S/G2","C19orf43"
"SNRPA1",5.55737847056522e-20,0.37390510628011,0.616,0.372,7.70975115221512e-16,"S/G2","SNRPA1"
"BCL2L12",5.64981559603184e-20,0.317336614734016,0.474,0.246,7.83798917637497e-16,"S/G2","BCL2L12"
"H2AFV",5.88755993194303e-20,0.371615403873359,0.943,0.828,8.16781189358457e-16,"S/G2","H2AFV"
"IFI27L1",6.14695237832869e-20,0.275417022538729,0.372,0.166,8.52766703445539e-16,"S/G2","IFI27L1"
"HNRNPDL",7.7664910838192e-20,0.364722026594179,0.97,0.869,1.07744530805824e-15,"S/G2","HNRNPDL"
"HSP90AA1",9.34647939841023e-20,0.441273185058993,0.994,0.993,1.29663708694145e-15,"S/G2","HSP90AA1"
"PRELID1",1.61091907491236e-19,0.335960757536728,0.973,0.887,2.23482803262591e-15,"S/G2","PRELID1"
"PLAU",1.97922949165854e-19,0.48293622222661,0.689,0.444,2.7457850737779e-15,"S/G2","PLAU"
"SNRPE",2.02639638980772e-19,0.3543210325556,0.949,0.833,2.81121971158025e-15,"S/G2","SNRPE"
"CYCS",2.2140690711684e-19,0.353660997318208,0.961,0.879,3.07157802243192e-15,"S/G2","CYCS"
"WHSC1",2.68094372279837e-19,0.26335892240559,0.417,0.197,3.71927322663818e-15,"S/G2","WHSC1"
"PGP",2.73450753459719e-19,0.32339724047583,0.541,0.302,3.79358230274669e-15,"S/G2","PGP"
"RNPS1",2.91751356042108e-19,0.380942580930023,0.752,0.546,4.04746656237216e-15,"S/G2","RNPS1"
"ANP32E",2.92576897873737e-19,0.301603152138701,0.529,0.285,4.05891930420235e-15,"S/G2","ANP32E"
"EIF5",3.39706318287397e-19,0.386217671567193,0.955,0.867,4.71274575360105e-15,"S/G2","EIF5"
"ECT2",3.61830852082919e-19,0.256676830941924,0.302,0.121,5.01967941094633e-15,"S/G2","ECT2"
"SNRNP40",3.8007463910514e-19,0.362625481742716,0.64,0.399,5.27277546830561e-15,"S/G2","SNRNP40"
"RAD1",4.78515186867433e-19,0.292794555335205,0.42,0.206,6.6384411874119e-15,"S/G2","RAD1"
"FOSL1",5.30532851434725e-19,0.295804979410537,0.405,0.197,7.36008224795394e-15,"S/G2","FOSL1"
"POLE3",6.31008846312587e-19,0.275627097472906,0.423,0.207,8.75398572489452e-15,"S/G2","POLE3"
"HAUS6",7.88120815883034e-19,0.292170455203454,0.356,0.163,1.09336000787453e-14,"S/G2","HAUS6"
"NUCKS1",8.3893562978167e-19,0.385547936202519,0.918,0.798,1.16385539919611e-14,"S/G2","NUCKS1"
"MRPL39",1.07326536352293e-18,0.313517839301837,0.48,0.256,1.48894103881535e-14,"S/G2","MRPL39"
"DPM2",1.10774844515171e-18,0.347034442297241,0.634,0.403,1.53677941795897e-14,"S/G2","DPM2"
"MRPL18",1.16524605756917e-18,0.34680429899915,0.879,0.706,1.61654585566571e-14,"S/G2","MRPL18"
"PAICS",1.35552790947505e-18,0.38406821482871,0.671,0.43,1.88052386881473e-14,"S/G2","PAICS"
"HNRNPD",1.40372684333552e-18,0.393983288438386,0.722,0.526,1.94739024975936e-14,"S/G2","HNRNPD"
"AP2S1",1.43386969939051e-18,0.340191211107775,0.94,0.832,1.98920743396446e-14,"S/G2","AP2S1"
"UPP1",1.65647154974681e-18,0.32886192369783,0.601,0.354,2.29802298096375e-14,"S/G2","UPP1"
"ADRM1",1.71447020459165e-18,0.388813017641726,0.782,0.609,2.37848451482999e-14,"S/G2","ADRM1"
"TOMM40",2.0180332131528e-18,0.369515193347807,0.58,0.359,2.79961747660687e-14,"S/G2","TOMM40"
"CARHSP1",2.28583512100134e-18,0.382113156165161,0.798,0.586,3.17113906336516e-14,"S/G2","CARHSP1"
"LSM4",3.02621574496485e-18,0.341533486357131,0.958,0.857,4.19826910298973e-14,"S/G2","LSM4"
"CHCHD3",4.137971795442e-18,0.370760381842245,0.637,0.41,5.74060827181668e-14,"S/G2","CHCHD3"
"PSMG2",4.3280084490552e-18,0.333336648682913,0.683,0.445,6.00424612137428e-14,"S/G2","PSMG2"
"SNRPG",4.60440996433462e-18,0.3467539039051,0.958,0.913,6.38769794352142e-14,"S/G2","SNRPG"
"PHF19",5.45031493712063e-18,0.271561570804751,0.405,0.196,7.56122191226745e-14,"S/G2","PHF19"
"RPL22L1",5.7918177541099e-18,0.380224707873927,0.807,0.594,8.03498877027666e-14,"S/G2","RPL22L1"
"PTHLH",5.9886860880558e-18,0.253554329867027,0.233,0.084,8.3081042099598e-14,"S/G2","PTHLH"
"ARF6",6.1910065622786e-18,0.330145898852586,0.511,0.293,8.5887834038491e-14,"S/G2","ARF6"
"CLIC1",8.4212755089349e-18,0.304287740647978,1,0.983,1.16828355135454e-13,"S/G2","CLIC1"
"SCML1",9.11686858786101e-18,0.256717066186328,0.251,0.095,1.26478317919396e-13,"S/G2","SCML1"
"COMMD4",1.57849425452945e-17,0.292964626934775,0.52,0.292,2.1898450793087e-13,"S/G2","COMMD4"
"C6orf1",1.92425195439738e-17,0.315349246206901,0.668,0.424,2.66951473633549e-13,"S/G2","C6orf1"
"NIPA2",2.20375767036208e-17,0.314090955230362,0.58,0.344,3.05727301609332e-13,"S/G2","NIPA2"
"CBX5",2.24582552362503e-17,0.351796976182931,0.782,0.587,3.115633748925e-13,"S/G2","CBX5"
"RBBP7",2.4832527478783e-17,0.370682575388757,0.795,0.611,3.44501653713156e-13,"S/G2","RBBP7"
"DDX39A",2.72251685460882e-17,0.30166472383969,0.55,0.318,3.77694763239882e-13,"S/G2","DDX39A"
"NT5E",2.75917471832469e-17,0.302044375263919,0.574,0.342,3.82780308673184e-13,"S/G2","NT5E"
"CKLF",3.17564689727412e-17,0.37663869896471,0.631,0.409,4.40557494058839e-13,"S/G2","CKLF"
"NEDD1",3.37554903072447e-17,0.278165926606594,0.381,0.187,4.68289917032406e-13,"S/G2","NEDD1"
"PFDN2",6.07688877147733e-17,0.399864224544889,0.909,0.817,8.4304677926705e-13,"S/G2","PFDN2"
"NOP56",6.1648848305393e-17,0.307804495525964,0.498,0.279,8.55254472540718e-13,"S/G2","NOP56"
"HNRNPUL1",8.39090848747075e-17,0.275614617595527,0.456,0.241,1.16407073446682e-12,"S/G2","HNRNPUL1"
"HNRNPF",8.69007818055166e-17,0.377926688591372,0.773,0.587,1.20557454598793e-12,"S/G2","HNRNPF"
"SMCHD1",8.78410801668168e-17,0.296223819605346,0.459,0.249,1.21861930515425e-12,"S/G2","SMCHD1"
"ARPC5L",9.32508761796016e-17,0.326585032255191,0.607,0.38,1.29366940523961e-12,"S/G2","ARPC5L"
"UBA2",1.32277787814948e-16,0.279861469929903,0.42,0.219,1.83508975035677e-12,"S/G2","UBA2"
"MCUR1",1.90882182818981e-16,0.328297614925382,0.571,0.358,2.64810852224772e-12,"S/G2","MCUR1"
"UQCC2",1.91156190963766e-16,0.322345794276652,0.897,0.769,2.65190983724033e-12,"S/G2","UQCC2"
"PARP1",2.29583031215335e-16,0.364426901987367,0.804,0.628,3.18500539205034e-12,"S/G2","PARP1"
"GTF3A",3.1788757950782e-16,0.333556519460953,0.897,0.776,4.41005439051198e-12,"S/G2","GTF3A"
"RUSC1",3.22834255401656e-16,0.276166609823489,0.399,0.205,4.47867962518717e-12,"S/G2","RUSC1"
"GLRX2",3.3789763575937e-16,0.277382930584956,0.547,0.322,4.68765390088974e-12,"S/G2","GLRX2"
"GPAA1",3.97682977261292e-16,0.311636946690385,0.695,0.474,5.5170559435459e-12,"S/G2","GPAA1"
"RPP30",4.08380177388686e-16,0.297268513624417,0.508,0.3,5.66545820091324e-12,"S/G2","RPP30"
"NRP2",4.96338913937012e-16,0.291424192674775,0.622,0.383,6.88570975304817e-12,"S/G2","NRP2"
"CSE1L",6.04016340452762e-16,0.261125592141736,0.363,0.177,8.37951869110116e-12,"S/G2","CSE1L"
"PPFIBP1",8.0619198988957e-16,0.347800334549617,0.508,0.304,1.1184301475738e-11,"S/G2","PPFIBP1"
"TMEM107",1.01071539372312e-15,0.251178252884324,0.347,0.168,1.40216546571208e-11,"S/G2","TMEM107"
"EIF2S1",1.07089426008899e-15,0.338129659871813,0.71,0.501,1.48565160702145e-11,"S/G2","EIF2S1"
"POLR2H",1.33468012494806e-15,0.28159328125572,0.535,0.317,1.85160173734044e-11,"S/G2","POLR2H"
"SNRPD3",1.9388154498194e-15,0.327277806226175,0.831,0.682,2.68971867353446e-11,"S/G2","SNRPD3"
"IER3IP1.1",2.11981863594976e-15,0.305234953458073,0.743,0.539,2.94082439365311e-11,"S/G2","IER3IP1.1"
"ENOPH1",2.65742275851117e-15,0.314788185740286,0.64,0.431,3.68664259288254e-11,"S/G2","ENOPH1"
"MAGOH",2.94048156924999e-15,0.303522250929845,0.68,0.458,4.07933008102052e-11,"S/G2","MAGOH"
"PRADC1",3.3595962689057e-15,0.273448970733016,0.447,0.251,4.66076790385287e-11,"S/G2","PRADC1"
"THOC3",3.36248017646206e-15,0.263275225728472,0.393,0.205,4.66476874880581e-11,"S/G2","THOC3"
"MRPL15",3.63697655471516e-15,0.382896755733471,0.719,0.529,5.04557757435634e-11,"S/G2","MRPL15"
"PTS",3.80159985183177e-15,0.294298141467408,0.586,0.372,5.27395947444622e-11,"S/G2","PTS"
"HSPE1",4.04995693169099e-15,0.335421655459463,0.946,0.873,5.61850525133492e-11,"S/G2","HSPE1"
"ISOC1",5.55950632800192e-15,0.261534082484104,0.35,0.176,7.71270312883707e-11,"S/G2","ISOC1"
"KIAA1715",6.18762987613641e-15,0.257529372164698,0.366,0.186,8.58409892716405e-11,"S/G2","KIAA1715"
"COPRS",6.682676302292e-15,0.302510792117192,0.511,0.31,9.2708768341697e-11,"S/G2","COPRS"
"HPRT1",7.01405430695496e-15,0.309618891836833,0.583,0.368,9.73059754003862e-11,"S/G2","HPRT1"
"SMC5",7.75422996555043e-15,0.258728971109315,0.408,0.218,1.07574432312081e-10,"S/G2","SMC5"
"CDK4",8.7181166454099e-15,0.318149622012168,0.873,0.775,1.20946432221772e-10,"S/G2","CDK4"
"GCLM",8.94246565737293e-15,0.262061729114938,0.387,0.206,1.24058826064735e-10,"S/G2","GCLM"
"IFRD2",1.0582132669471e-14,0.257178639857085,0.405,0.214,1.46805926523571e-10,"S/G2","IFRD2"
"SF3B2",1.15645803552265e-14,0.317301791420855,0.701,0.479,1.60435423268057e-10,"S/G2","SF3B2"
"RRP7A",1.20617310314616e-14,0.261848246832071,0.405,0.22,1.67332394599467e-10,"S/G2","RRP7A"
"COA1",1.27054157764427e-14,0.294135983541612,0.716,0.5,1.76262233066589e-10,"S/G2","COA1"
"ITGB1BP1",1.27260796447896e-14,0.317970563624152,0.743,0.54,1.76548902912166e-10,"S/G2","ITGB1BP1"
"RPA2",1.29471146745073e-14,0.289133680674878,0.432,0.246,1.7961532187944e-10,"S/G2","RPA2"
