"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"C4orf3",7.01068705061006e-19,0.346313792719073,0.865,0.792,9.72592614531133e-15,"Neural G0","C4orf3"
"ASAH1",1.16680628040913e-17,0.330339299238494,0.709,0.578,1.61871035281158e-13,"Neural G0","ASAH1"
"MDK",2.20037985007584e-17,0.276865405132149,0.994,0.983,3.05258696601021e-13,"Neural G0","MDK"
"METRN",2.25782228823361e-17,0.345043224458857,0.56,0.392,3.13227686046649e-13,"Neural G0","METRN"
"BTG11",2.58597404576061e-17,0.407034522757754,0.716,0.59,3.5875217936837e-13,"Neural G0","BTG1"
"MAGED2",3.92543788776981e-17,0.370117866618954,0.659,0.511,5.44575998170305e-13,"Neural G0","MAGED2"
"LAMP2",3.97720191875643e-17,0.345454936364424,0.661,0.514,5.5175722218908e-13,"Neural G0","LAMP2"
"COL9A3",7.22809063055616e-17,0.388997692769582,0.646,0.485,1.00275301317706e-12,"Neural G0","COL9A3"
"SH3BGRL",1.26734423140932e-16,0.370857091066402,0.684,0.57,1.75818665223414e-12,"Neural G0","SH3BGRL"
"RAB9A",1.5899239881852e-16,0.324112591446146,0.48,0.321,2.20570154880933e-12,"Neural G0","RAB9A"
"PHPT1",1.98703025761452e-16,0.270418351615539,0.992,0.993,2.75660707638862e-12,"Neural G0","PHPT1"
"CD74",4.90944703789722e-16,0.268333091309022,0.16,0.059,6.81087587567482e-12,"Neural G0","CD74"
"CA2",1.07238803518179e-15,0.446508397008586,0.331,0.187,1.4877239212077e-11,"Neural G0","CA2"
"ZNF428",1.13704386813661e-15,0.303217786799722,0.834,0.744,1.57742095826592e-11,"Neural G0","ZNF428"
"CADM4",1.47269044609366e-15,0.319707388094918,0.491,0.336,2.04306345586573e-11,"Neural G0","CADM4"
"TSPAN6",1.84884987748758e-15,0.254990831185707,0.356,0.204,2.56490943503852e-11,"Neural G0","TSPAN6"
"CNPY2",4.79540743646602e-15,0.318739128300319,0.789,0.72,6.65266873660931e-11,"Neural G0","CNPY2"
"PDHX",5.90386396554276e-15,0.305324984525835,0.368,0.222,8.19043047939746e-11,"Neural G0","PDHX"
"SEC62",8.21663479141889e-15,0.265082191736721,0.857,0.791,1.13989374461354e-10,"Neural G0","SEC62"
"ARL5A",8.59211082874491e-15,0.358093324780523,0.686,0.573,1.19198353527178e-10,"Neural G0","ARL5A"
"BEX4",9.32126335916824e-15,0.358632207937862,0.608,0.463,1.29313886581741e-10,"Neural G0","BEX4"
"ID3",1.41295714574137e-14,0.580850618534427,0.731,0.601,1.960195448287e-10,"Neural G0","ID3"
"CCNI",1.57878075464909e-14,0.272224316534663,0.931,0.894,2.19024254092469e-10,"Neural G0","CCNI"
"CNP",1.91964041478885e-14,0.291187017380221,0.448,0.295,2.66311714743657e-10,"Neural G0","CNP"
"BLOC1S1",3.72650013144568e-14,0.279749874534228,0.897,0.823,5.16977363235459e-10,"Neural G0","BLOC1S1"
"HLA-A",5.13698870908408e-14,0.253332633183088,0.989,0.991,7.12654443611234e-10,"Neural G0","HLA-A"
"MLLT11",9.09735150288841e-14,0.261399688967172,0.971,0.941,1.26207557399571e-09,"Neural G0","MLLT11"
"CIRBP",9.26261694657846e-14,0.267537220789487,0.916,0.872,1.28500284899883e-09,"Neural G0","CIRBP"
"EIF3E",1.25993517704917e-13,0.25940569924664,0.926,0.884,1.74790807112031e-09,"Neural G0","EIF3E"
"BCHE",3.80120970594718e-13,0.252207527250268,0.349,0.212,5.27341822506052e-09,"Neural G0","BCHE"
"SGCB",7.62976568377628e-13,0.275347203741348,0.783,0.698,1.05847739331028e-08,"Neural G0","SGCB"
"RSF1",1.42168182463462e-12,0.258378302183785,0.577,0.427,1.97229919531561e-08,"Neural G0","RSF1"
"BNIP3L",6.27505528765985e-12,0.269075204061003,0.69,0.564,8.70538420057051e-08,"Neural G0","BNIP3L"
"EIF4A2",6.32499605514259e-12,0.261246249585946,0.878,0.852,8.77466702729932e-08,"Neural G0","EIF4A2"
"CLDND1",7.72840729306142e-12,0.262175541672427,0.585,0.451,1.07216194376641e-07,"Neural G0","CLDND1"
"RAB2A",1.47330142764867e-11,0.291145806768322,0.739,0.66,2.043911070577e-07,"Neural G0","RAB2A"
"DHRS7",1.65578738714105e-11,0.288203430662016,0.594,0.477,2.29707384218078e-07,"Neural G0","DHRS7"
"PLOD2",2.30219512128791e-11,0.266810345740349,0.467,0.333,3.19383529176272e-07,"Neural G0","PLOD2"
"VGLL4",2.55387609603709e-11,0.277046261545436,0.53,0.401,3.54299230803225e-07,"Neural G0","VGLL4"
"TMCO1",3.1345018957055e-11,0.251938749504632,0.806,0.745,4.34849447991223e-07,"Neural G0","TMCO1"
"LYPD1",5.30292149157042e-11,0.299421884883041,0.781,0.723,7.35674298525564e-07,"Neural G0","LYPD1"
"MARCKS",8.91323859165185e-11,0.274985070826934,0.653,0.529,1.23653358981986e-06,"Neural G0","MARCKS"
"MFGE8",2.57529093614078e-10,0.286048899551739,0.636,0.533,3.57270111570811e-06,"Neural G0","MFGE8"
"SCD5",5.57647361098456e-10,0.294349963378815,0.541,0.427,7.73624184051888e-06,"Neural G0","SCD5"
"YIPF3",7.91662118271074e-10,0.253915396889997,0.596,0.48,1.09827285667746e-05,"Neural G0","YIPF3"
"APIP",1.47104332059978e-09,0.272303011042737,0.44,0.324,2.04077839866807e-05,"Neural G0","APIP"
"RPAIN",1.69934302571313e-09,0.259862828143953,0.627,0.527,2.35749857957182e-05,"Neural G0","RPAIN"
"SOX9",8.51913993439824e-09,0.27728638171362,0.545,0.431,0.000118186028309907,"Neural G0","SOX9"
"IGFBP7",1.12991575520305e-08,0.482728699980327,0.768,0.708,0.000156753212719319,"Neural G0","IGFBP7"
"C1orf21",4.35325126372451e-08,0.27409966575464,0.53,0.438,0.000603926547816501,"Neural G0","C1orf21"
"IFITM3",4.36908204921411e-08,0.266820810403156,0.785,0.718,0.000606122752687474,"Neural G0","IFITM3"
"HIST1H1B",0,1.19145352130713,0.752,0.045,0,"S/G2","HIST1H1B"
"HIST1H4C",2.00625173393813e-204,2.83004458111063,0.985,0.405,2.78327303049236e-200,"S/G2","HIST1H4C"
"HIST1H1E",6.46535320167129e-182,1.41052605941084,0.852,0.2,8.96938449667858e-178,"S/G2","HIST1H1E"
"HIST1H1C",3.1413453770645e-165,1.37691588566881,0.837,0.208,4.35798844160158e-161,"S/G2","HIST1H1C"
"RRM2",6.11797395073264e-157,1.41024222919424,0.867,0.226,8.48746526185139e-153,"S/G2","RRM2"
"CDK1",9.63119992405363e-157,1.40371435125485,0.927,0.251,1.33613636546396e-152,"S/G2","CDK1"
"UBE2C",6.30133651905494e-148,1.08603417614976,0.949,0.252,8.74184415288492e-144,"S/G2","UBE2C"
"ZWINT",9.34810737856678e-145,1.18015453553471,0.903,0.276,1.29686293662857e-140,"S/G2","ZWINT"
"HIST2H2AC",2.82308983152652e-138,0.773797899529315,0.565,0.081,3.91647252327674e-134,"S/G2","HIST2H2AC"
"ESCO2",1.80559690522831e-132,0.848300007829445,0.689,0.136,2.50490458662323e-128,"S/G2","ESCO2"
"SPC25",5.47784458993337e-131,0.840892735392253,0.698,0.141,7.59941379961457e-127,"S/G2","SPC25"
"HIST1H2AM",8.91576637292636e-130,0.568712582188811,0.414,0.037,1.23688426891607e-125,"S/G2","HIST1H2AM"
"KIAA0101",5.30828375923224e-127,1.41517925148351,0.976,0.511,7.36418205918289e-123,"S/G2","KIAA0101"
"H2AFZ",4.33478739041078e-125,1.21062790378553,1,0.983,6.01365054671688e-121,"S/G2","H2AFZ"
"HIST1H1D",6.32811254283884e-124,0.62698629055347,0.36,0.027,8.77899053068032e-120,"S/G2","HIST1H1D"
"MKI67",2.45787370663131e-116,0.88486107129813,0.792,0.195,3.40980819320962e-112,"S/G2","MKI67"
"HMGB2",2.52724960108616e-115,1.22317856023128,0.931,0.343,3.50605337158682e-111,"S/G2","HMGB2"
"UBE2T",2.17908307870259e-113,1.08109762748244,0.846,0.285,3.0230419550841e-109,"S/G2","UBE2T"
"TOP2A",4.15236520436186e-110,0.796370283338112,0.795,0.199,5.76057624801121e-106,"S/G2","TOP2A"
"AURKB",3.43067461611687e-100,0.665415299275866,0.589,0.121,4.75937489493893e-96,"S/G2","AURKB"
"RANBP1",8.40834092090386e-98,0.904994834229854,1,0.956,1.16648913595699e-93,"S/G2","RANBP1"
"TK1",1.59758572215594e-97,0.893884026854882,0.798,0.27,2.21633067234693e-93,"S/G2","TK1"
"DUT",8.02149432402085e-95,0.999282791542585,0.997,0.885,1.11282190757141e-90,"S/G2","DUT"
"SMC4",8.45540088646675e-95,1.02884384225333,0.912,0.403,1.17301776497953e-90,"S/G2","SMC4"
"FBXO5",2.1397847789664e-94,0.725234453476333,0.634,0.156,2.96852342386008e-90,"S/G2","FBXO5"
"PBK",5.30358224566723e-94,0.755680715614978,0.816,0.239,7.35765964941415e-90,"S/G2","PBK"
"NUSAP1",1.01893316648734e-89,0.89000855843258,0.846,0.294,1.41356598186789e-85,"S/G2","NUSAP1"
"USP1",5.97881723392947e-89,0.84910952107431,0.813,0.308,8.29441314863035e-85,"S/G2","USP1"
"MAD2L1",4.7270778003866e-88,0.875001608127988,0.837,0.304,6.55787503247633e-84,"S/G2","MAD2L1"
"DEK",3.48066018216847e-86,0.948574755425968,0.967,0.644,4.82871987072232e-82,"S/G2","DEK"
"RNASEH2A",1.036599198493e-84,0.816037183308765,0.789,0.294,1.43807406806934e-80,"S/G2","RNASEH2A"
"CENPM",2.25557359538293e-81,0.749260419114615,0.686,0.216,3.12915724887473e-77,"S/G2","CENPM"
"SMC2",2.87901501644101e-81,0.866622523072478,0.795,0.321,3.99405753230862e-77,"S/G2","SMC2"
"DHFR",4.94844474365519e-80,0.7614857346167,0.722,0.25,6.86497739287285e-76,"S/G2","DHFR"
"CENPF",2.68432892293678e-77,0.705643234428468,0.937,0.415,3.7239695147902e-73,"S/G2","CENPF"
"RRM1",5.852639114174e-77,0.734517174249067,0.71,0.252,8.11936624309359e-73,"S/G2","RRM1"
"HIST1H2AH",7.06788939638449e-77,0.317415900875831,0.239,0.019,9.8052829596042e-73,"S/G2","HIST1H2AH"
"CCNA2",1.04196656332244e-76,0.540591384876671,0.631,0.162,1.44552021329722e-72,"S/G2","CCNA2"
"DNAJC9",1.50924924275869e-76,0.740601877058575,0.77,0.292,2.09378147447913e-72,"S/G2","DNAJC9"
"CKS1B",4.79698591962866e-76,0.883866038937459,0.952,0.54,6.65485856630084e-72,"S/G2","CKS1B"
