index1,precision,recall,f1-score,support
G1,0.9551948577373635,0.9706970963833392,0.9627258243758877,115.4
G2/M,0.9799715801439939,0.9904919641761747,0.9849512644218527,32.4
Late G1,0.9903890160183065,0.944507767471457,0.96599301799518,20.6
M/Early G1,0.9463934833187067,0.9551462426462427,0.9499483790827284,25.0
Neural G0,0.9681521910263156,0.947198235661958,0.9572440704942429,51.6
S,0.9609910646180669,0.9444857598541809,0.951699005957671,21.3
S/G2,0.9700796130207895,0.9644535736955724,0.9669632083302211,33.3
