index1,precision,recall,f1-score,support
G1,0.764001399454364,0.8201432817849182,0.7903722530323288,115.4
G2/M,0.8143019981614504,0.8300053260579577,0.8213945290429306,32.4
Late G1,0.6371184371184372,0.47121625267539935,0.5367598764675227,20.6
M/Early G1,0.6890183844299147,0.6841006041875606,0.6845302071013333,25.3
Neural G0,0.7821256347720285,0.7438992248126841,0.7612552044420317,51.6
S,0.5800888143205414,0.5301007063112325,0.5510460945212459,21.4
S/G2,0.7476669349720224,0.761748513698782,0.7509581949259658,33.3
