"","Phase","recat"
"4704","S","G1"
"4705","G2M","M"
"4706","S","G1"
"4707","S","G1"
"4708","G1","G1"
"4709","G2M","G2"
"4710","S","G1"
"4711","S","G1"
"4712","S","G1S"
"4713","G1","G1"
"4714","S","G1S"
"4715","G1","G1"
"4716","G1","G1"
"4717","G2M","G2"
"4718","G1","M"
"4719","G1","G1"
"4720","G1","G1"
"4721","G1","G1"
"4722","G1","G1"
"4723","G1","G1"
"4724","G1","G1"
"4725","G1","G1"
"4726","G1","G1"
"4727","S","G1"
"4728","G2M","M"
"4729","G1","G1"
"4730","G1","G1"
"4731","G2M","G1S"
"4732","G1","G1"
"4733","G1","G1"
"4734","G1","G1"
"4735","S","G1"
"4736","G1","G1"
"4737","G2M","M"
"4738","S","G1"
"4739","G2M","M"
"4740","S","G1S"
"4741","S","G1S"
"4742","G1","G1"
"4743","G1","G1"
"4744","S","G1"
"4745","G1","G1"
"4746","G1","G1"
"4747","G1","G1"
"4748","G1","G1"
"4749","G2M","M"
"4750","G2M","M"
"4751","G1","G1"
"4752","G2M","G2"
"4753","G1","G1S"
"4754","G2M","G2"
"4755","G1","G1"
"4756","S","G1S"
"4757","S","G1"
"4758","S","G1"
"4759","G1","G1"
"4760","G2M","G1S"
"4761","G1","G1"
"4762","G1","G1"
"4763","S","G1S"
"4764","G1","G1"
"4765","S","G1"
"4766","G2M","G1S"
"4767","G1","G1"
"4768","G2M","M"
"4769","G2M","G2"
"4770","S","G1S"
"4771","G1","G1S"
"4772","G1","G1"
"4773","G2M","M"
"4774","S","G1"
"4775","G1","G1"
"4776","G1","G1"
"4777","S","G1S"
"4778","G1","G1"
"4779","G1","G1"
"4780","S","G1S"
"4781","G1","G1"
"4782","S","G1"
"4783","G1","G1"
"4784","S","G1S"
"4785","G1","G1"
"4786","G2M","M"
"4787","G2M","M"
"4788","G1","G1"
"4789","S","G1"
"4790","S","G1S"
"4791","G1","G1"
"4792","G2M","M"
"4793","S","G1"
"4794","G1","G1"
"4795","G1","G1"
"4796","S","G1"
"4797","G2M","M"
"4798","G1","G1"
"4799","G1","M"
"4800","G2M","M"
"4801","G1","G1"
"4802","G1","G1"
"4803","G1","G1"
"4804","G1","G1"
"4805","G1","G1"
"4806","S","G1"
"4807","G2M","G2M"
"4808","S","G1S"
"4809","S","G1S"
"4810","G1","G1"
"4811","G2M","M"
"4812","G1","G1"
"4813","G1","G1"
"4814","S","G1S"
"4815","G1","G1"
"4816","G2M","M"
"4817","G1","G1"
"4818","G2M","G2M"
"4819","S","G1S"
"4820","S","G1S"
"4821","G2M","M"
"4822","G1","G1"
"4823","G2M","M"
"4824","G1","G1"
"4825","G1","G1"
"4826","G2M","M"
"4827","S","G1"
"4828","G1","G1"
"4829","G1","G1"
"4830","G1","G1"
"4831","G2M","G2M"
"4832","S","G1S"
"4833","G1","G1"
"4834","G2M","M"
"4835","G1","G1"
"4836","S","G1S"
"4837","S","G1S"
"4838","G1","G1"
"4839","G1","G1"
"4840","G1","G1"
"4841","G1","G1"
"4842","G2M","G2M"
"4843","G2M","M"
"4844","G1","G1"
"4845","G1","G1"
"4846","S","G2M"
"4847","G1","G1"
"4848","S","G1"
"4849","G1","G1"
"4850","G1","G1"
"4851","S","G1"
"4852","G2M","M"
"4853","G2M","G1S"
"4854","S","G1S"
"4855","G1","G1"
"4856","G1","G1"
"4857","G1","G1"
"4858","S","G1"
"4859","G1","G1"
"4860","S","G1S"
"4861","S","S"
"4862","G1","G1"
"4863","S","G1S"
"4864","S","G1"
"4865","G1","G1"
"4866","G1","G1"
"4867","S","G1S"
"4868","G1","G1"
"4869","G1","G1"
"4870","G1","G1"
"4871","G2M","G1S"
"4872","G2M","M"
"4873","G1","G1"
"4874","G1","G1"
"4875","G1","M"
"4876","G1","G1"
"4877","G1","G1"
"4878","S","G1"
"4879","G1","G1"
"4880","G1","G1"
"4881","G1","G1"
"4882","G1","G1"
"4883","G1","G1"
"4884","G1","G1"
"4885","G1","G1"
"4886","S","G1S"
"4887","S","G1S"
"4888","S","G1S"
"4889","G1","G1"
"4890","G2M","M"
"4891","G1","G1"
"4892","G1","G1"
"4893","S","G1S"
"4894","G1","G1"
"4895","G1","G1"
"4896","G2M","M"
"4897","S","G1S"
"4898","G1","G1"
"4899","G1","G1"
"4900","G2M","G2M"
"4901","G2M","M"
"4902","G2M","S"
"4903","G2M","G2"
"4904","G2M","M"
"4905","G1","G1"
"4906","S","G1"
"4907","G2M","M"
"4908","G1","G1"
"4909","G1","G1"
"4910","G2M","G2M"
"4911","G1","G1"
"4912","G1","G1"
"4913","G2M","G2M"
"4914","G2M","M"
"4915","S","G1"
"4916","G2M","M"
"4917","S","G1S"
"4918","G2M","M"
"4919","G2M","G1"
"4920","S","G1"
"4921","G1","G1S"
"4922","G2M","G2"
"4923","G1","G1"
"4924","G1","G1"
"4925","G1","G1"
"4926","S","G1"
"4927","G1","G1"
"4928","G2M","M"
"4929","G1","G1"
"4930","S","G1S"
"4931","G1","G1"
"4932","G1","M"
"4933","G1","G1"
"4934","S","G1"
"4935","G1","G1"
"4936","S","G1"
"4937","G2M","G2M"
"4938","G2M","M"
"4939","G2M","M"
"4940","G2M","G2M"
"4941","G1","G1"
"4942","G2M","M"
"4943","S","G1"
"4944","S","G1"
"4945","G1","G1"
"4946","S","G1"
"4947","G1","G1"
"4948","G1","G1"
"4949","G1","G1"
"4950","G1","M"
"4951","G2M","M"
"4952","G2M","M"
"4953","S","G1S"
"4954","G1","G1"
"4955","G1","G1"
"4956","S","G1S"
"4957","G1","G1"
"4958","G2M","M"
"4959","G2M","M"
"4960","G1","G1"
"4961","S","G1"
"4962","G2M","M"
"4963","G1","G1"
"4964","G2M","M"
"4965","G1","G1"
"4966","S","G1"
"4967","G1","G1"
"4968","G2M","M"
"4969","G1","G1"
"4970","S","G1"
"4971","G1","G1"
"4972","G1","G1"
"4973","S","G1"
"4974","S","G1"
"4975","S","G1S"
"4976","G1","G1"
"4977","S","G1"
"4978","G2M","M"
"4979","G1","G1"
"4980","G2M","M"
"4981","S","G1S"
"4982","S","G1S"
"4983","G2M","G2"
"4984","G1","G1"
"4985","G2M","M"
"4986","G1","G1"
"4987","G2M","M"
"4988","S","G1S"
"4989","G1","G1"
"4990","G2M","S"
"4991","G1","G1"
"4992","S","G1"
"4993","G1","G1"
"4994","G2M","M"
"4995","G1","G1"
"4996","S","G1S"
"4997","G1","G1"
"4998","G1","G1"
"4999","G1","G1"
"5000","G1","G1"
"5001","G1","G1"
"5002","G2M","G2"
"5003","G2M","M"
"5004","G2M","M"
"5005","S","G1"
"5006","S","G1S"
"5007","G1","G1"
"5008","G2M","M"
"5009","S","G1S"
"5010","S","G1S"
"5011","G2M","M"
"5012","G1","G1"
"5013","G1","G1"
"5014","G1","M"
"5015","G2M","M"
"5016","G1","G1"
"5017","S","G1S"
"5018","G1","G1"
"5019","G1","G1"
"5020","G2M","M"
"5021","G1","G1"
"5022","S","G1S"
"5023","G2M","M"
"5024","G1","G1"
"5025","S","G1"
"5026","G2M","G2"
"5027","G1","G1"
"5028","G1","G1"
"5029","G2M","M"
"5030","G2M","M"
"5031","G1","G1"
"5032","S","G1S"
"5033","G1","M"
"5034","G2M","M"
"5035","G1","G1"
"5036","G1","G1"
"5037","S","G1"
"5038","S","G1"
"5039","S","G1S"
"5040","G1","G1"
"5041","G2M","G2M"
"5042","G1","G1"
"5043","G1","G1"
"5044","G2M","M"
"5045","S","G1"
"5046","G1","G1"
"5047","G1","G1"
"5048","S","G1"
"5049","S","G1"
"5050","S","G1S"
"5051","S","G1S"
"5052","G2M","M"
"5053","G1","G1"
"5054","S","G1S"
"5055","G2M","M"
"5056","G1","G1"
"5057","G1","G1"
"5058","G1","G1"
"5059","G1","G1"
"5060","G1","G1"
"5061","G1","G1"
"5062","S","G1"
"5063","S","G1"
"5064","S","G1S"
"5065","G1","G1"
"5066","G1","G1"
"5067","G1","G1"
"5068","S","G1"
"5069","G2M","M"
"5070","S","G1S"
"5071","S","G1S"
"5072","G2M","M"
"5073","G2M","M"
"5074","S","G1S"
"5075","G1","G1"
"5076","G1","G1"
"5077","G2M","G2M"
"5078","S","G1S"
"5079","G2M","G1S"
"5080","G2M","M"
"5081","G1","G1"
"5082","G1","G1"
"5083","G1","G1"
"5084","G1","G1"
"5085","S","G1S"
"5086","G1","G1"
"5087","G1","G1"
"5088","S","G1"
"5089","S","G1S"
"5090","G1","G1"
"5091","G1","G1"
"5092","S","G1"
"5093","S","G1S"
"5094","G2M","M"
"5095","G1","G1"
"5096","G1","G1S"
"5097","G1","G1"
"5098","G2M","G1S"
"5099","G1","G1"
"5100","G1","G1S"
"5101","S","G1"
"5102","G1","G1S"
"5103","G1","G1"
"5104","G2M","G1S"
"5105","G2M","G2M"
"5106","G2M","G2M"
"5107","S","G1"
"5108","G1","G1"
"5109","S","G1S"
"5110","S","G1"
"5111","G1","G1"
"5112","S","G1S"
"5113","S","G1"
"5114","G2M","G2"
"5115","S","G1S"
"5116","G1","G1"
"5117","S","G1"
"5118","G1","G1"
"5119","G2M","M"
"5120","G1","G1"
"5121","G1","G1"
"5122","G2M","M"
"5123","S","G2"
"5124","G1","G1"
"5125","G1","G1"
"5126","S","G1"
"5127","S","G1"
"5128","G1","G1"
"5129","G1","G1"
"5130","S","G1"
"5131","G1","G1"
"5132","G1","G1"
"5133","S","G1S"
"5134","G1","G1"
"5135","G1","G1"
"5136","G1","G1"
"5137","G1","G1"
"5138","G1","G1"
"5139","G1","G1"
"5140","G1","G1"
"5141","G1","G1"
"5142","G1","G1"
"5143","G1","G1"
"5144","G1","G1"
"5145","S","G1"
"5146","S","G1S"
"5147","S","G1"
"5148","G1","G1"
"5149","G1","G1"
"5150","G2M","M"
"5151","G1","G1"
"5152","G1","G1"
"5153","G1","G1"
"5154","S","G1S"
"5155","S","G1S"
"5156","S","G1S"
"5157","G1","G1"
"5158","S","G1S"
"5159","S","G1"
"5160","G1","G1"
"5161","G1","G1"
"5162","S","G2"
"5163","G1","G1"
"5164","S","G1"
"5165","G2M","G1"
"5166","G2M","M"
"5167","G1","G1"
"5168","G1","G1"
"5169","S","G1"
"5170","G1","G1"
"5171","S","G1S"
"5172","G1","G1"
"5173","S","G1"
"5174","S","G1"
"5175","G2M","G2"
"5176","S","G1S"
"5177","G2M","M"
"5178","S","G1S"
"5179","S","G1"
"5180","G1","G1"
"5181","G2M","M"
"5182","S","G1"
"5183","G1","G1"
"5184","S","G1"
"5185","G1","G1"
"5186","G1","G1"
"5187","G1","G1"
"5188","G1","G1"
"5189","G1","G1"
"5190","S","G1"
"5191","G1","G1"
"5192","G1","G1"
"5193","G1","G1"
"5194","G1","G1"
"5195","S","G1"
"5196","G2M","M"
"5197","G1","G1"
"5198","G1","G1"
"5199","S","G1"
"5200","G1","G1"
"5201","G2M","G1S"
"5202","S","G1S"
"5203","G2M","M"
"5204","G1","G1"
"5205","G2M","G2M"
"5206","G1","G1"
"5207","G1","G1"
"5208","G2M","G1"
"5209","S","G1"
"5210","S","G1"
"5211","G2M","M"
"5212","G2M","G1S"
"5213","G2M","M"
"5214","G2M","G2"
"5215","G1","G1"
"5216","S","G1"
"5217","S","G1"
"5218","S","G1S"
"5219","G1","G1"
"5220","G1","G1"
"5221","G1","G1"
"5222","G1","G1"
"5223","G1","G1"
"5224","G1","G1"
"5225","G2M","G2M"
"5226","G1","G1"
"5227","G2M","S"
"5228","G1","G1"
"5229","S","G1S"
"5230","G1","G1"
"5231","S","G1"
"5232","S","G1S"
"5233","G2M","M"
"5234","G1","G1"
"5235","G1","G1"
"5236","G1","G1"
"5237","S","G1"
"5238","S","S"
"5239","S","G1"
"5240","S","G1S"
"5241","G1","G1"
"5242","G2M","M"
"5243","G1","G1"
"5244","S","G1S"
"5245","S","G1S"
"5246","G1","G1"
"5247","G2M","G2M"
"5248","G1","G1"
"5249","G1","G1"
"5250","G1","G1"
"5251","G2M","G2M"
"5252","G1","G1"
"5253","G2M","M"
"5254","G1","G1"
"5255","G1","G1"
"5256","G1","G1"
"5257","G1","G1"
"5258","G1","G1"
"5259","S","G1"
"5260","G1","G1"
"5261","S","G1"
"5262","G1","M"
"5263","G1","G1"
"5264","S","G1"
"5265","S","G1"
"5266","G2M","G2M"
"5267","S","G1"
"5268","G1","G1"
"5269","G2M","G1"
"5270","G2M","M"
"5271","G1","G1"
"5272","S","G1S"
"5273","S","G1S"
"5274","S","G1S"
"5275","G2M","M"
"5276","S","G1"
"5277","G1","M"
"5278","S","G1S"
"5279","G1","G1"
"5280","G1","G1"
"5281","G1","G1"
"5282","G1","G1"
"5283","S","G1"
"5284","S","G1S"
"5285","G1","G1"
"5286","S","G1"
"5287","G1","G1"
"5288","G1","G1"
"5289","G1","G1"
"5290","S","G1"
"5291","G1","G1"
"5292","S","G1"
"5293","G1","G1"
"5294","G1","G1"
"5295","G1","G1"
"5296","G1","G1"
"5297","G1","G1"
"5298","G1","G1"
"5299","G2M","M"
"5300","G2M","G1"
"5301","G1","G1"
"5302","S","G1"
"5303","G1","G1"
"5304","G2M","G2"
"5305","G2M","S"
"5306","G1","G1"
"5307","G1","G1"
"5308","G2M","G2M"
"5309","G1","G1"
"5310","S","G1S"
"5311","S","G1S"
"5312","G2M","G2M"
"5313","G1","G1"
"5314","G2M","M"
"5315","G1","G1"
"5316","G2M","M"
"5317","G2M","M"
"5318","G2M","M"
"5319","G1","G1"
"5320","S","G1S"
"5321","G2M","M"
"5322","G1","G1"
"5323","S","S"
"5324","G1","G1"
"5325","G2M","M"
"5326","S","G1S"
"5327","G2M","M"
"5328","G1","G1"
"5329","G2M","M"
"5330","G2M","G2"
"5331","S","G1S"
"5332","S","G1S"
"5333","G1","G1"
"5334","S","G1S"
"5335","G1","G1"
"5336","S","G1S"
"5337","G1","G1"
"5338","G2M","M"
"5339","G2M","G2M"
"5340","G1","G1"
"5341","G1","G1"
"5342","G1","G1"
"5343","G1","G1"
"5344","G2M","M"
"5345","G1","G1"
"5346","G2M","M"
"5347","G1","G1"
"5348","G1","G1"
"5349","G1","G1"
"5350","S","G1S"
"5351","G2M","G1S"
"5352","G2M","M"
"5353","G1","G1"
"5354","G1","G1"
"5355","S","G1"
"5356","S","G1"
"5357","G2M","M"
"5358","S","G1"
"5359","S","G1"
"5360","G2M","M"
"5361","G1","G1"
"5362","G2M","M"
"5363","G1","G1"
"5364","G1","G1"
"5365","G2M","M"
"5366","G1","G1"
"5367","S","G1"
"5368","S","G2"
"5369","S","G1S"
"5370","G2M","M"
"5371","G1","G1"
"5372","G2M","M"
"5373","G1","G1"
"5374","G2M","G2"
"5375","S","G1"
"5376","G2M","M"
"5377","G1","G1"
"5378","G1","G1"
"5379","G1","G1"
"5380","G2M","M"
"5381","S","G1"
"5382","S","G1S"
"5383","S","G1S"
"5384","G1","G1"
"5385","G2M","M"
"5386","G1","G1"
"5387","G2M","G2M"
"5388","G1","G1"
"5389","S","G1S"
"5390","G1","G1"
"5391","G2M","M"
"5392","G1","G1"
"5393","S","G1S"
"5394","G1","G1"
"5395","S","G1"
"5396","G1","G1"
"5397","S","M"
"5398","G1","G1"
"5399","S","G1S"
"5400","G1","G1"
"5401","G1","G1"
"5402","G1","G1"
"5403","G1","G1"
"5404","G1","G1"
"5405","G1","G1"
"5406","S","G1"
"5407","G2M","M"
"5408","S","G1"
"5409","S","G1"
"5410","S","G1S"
"5411","G1","G1"
"5412","G2M","S"
"5413","S","G1S"
"5414","S","G1S"
"5415","G2M","M"
"5416","G1","M"
"5417","G1","G1"
"5418","G2M","M"
"5419","S","G1S"
"5420","S","G1"
"5421","G1","G1"
"5422","G1","G1"
"5423","S","G1"
"5424","G1","G1"
"5425","S","G1"
"5426","G1","G1"
"5427","G1","G1"
"5428","G1","G1"
"5429","G1","G1"
"5430","G2M","M"
"5431","G2M","M"
"5432","G1","G1"
"5433","S","G1S"
"5434","G1","G1"
"5435","S","G1"
"5436","G1","G1"
"5437","S","G1"
"5438","G1","M"
"5439","S","G1S"
"5440","G2M","M"
"5441","G2M","G2"
"5442","G1","G1"
"5443","G1","G1"
"5444","G1","G1"
"5445","G1","G1"
"5446","G1","G1"
"5447","S","G1"
"5448","S","G1S"
"5449","G1","G1"
"5450","G2M","M"
"5451","S","G2M"
"5452","G1","G1"
"5453","G1","G1"
"5454","G1","G1"
"5455","S","G1S"
"5456","G1","G1"
"5457","G2M","M"
"5458","G1","G1"
"5459","G1","G1"
"5460","G1","G1"
"5461","G1","G1"
"5462","G1","G1"
"5463","S","G1"
"5464","S","G1"
"5465","G1","G1"
"5466","G1","G1"
"5467","G1","G1"
"5468","G1","G1"
"5469","S","G1"
"5470","G1","G1"
"5471","G1","G1"
"5472","G1","G1"
"5473","G1","G1"
"5474","G1","G1"
"5475","S","G1S"
"5476","G2M","G2"
"5477","G2M","M"
"5478","G1","G1"
"5479","G1","G1"
"5480","S","G1"
"5481","G2M","G2M"
"5482","G2M","M"
"5483","G2M","G2M"
"5484","S","G1"
"5485","G2M","G2M"
"5486","G2M","M"
"5487","S","G1S"
"5488","S","G1S"
"5489","G1","G1"
"5490","G1","G1"
"5491","G1","G1"
"5492","S","G1S"
"5493","G2M","M"
"5494","G1","G1"
"5495","G1","G1"
"5496","G1","G1"
"5497","S","G1S"
"5498","G2M","M"
"5499","G1","G1"
"5500","G1","G1"
"5501","G1","G1"
"5502","S","G1S"
"5503","G1","G1"
"5504","G1","G1"
"5505","G1","G1"
"5506","G2M","G1"
"5507","S","G1"
"5508","G1","G1"
"5509","G2M","G2M"
"5510","G1","G1"
"5511","G1","G1"
"5512","S","G1S"
"5513","G2M","M"
"5514","G1","G1"
"5515","G1","G1"
"5516","G1","G1"
"5517","G1","G1"
"5518","G1","G1"
"5519","G2M","S"
"5520","G2M","G1"
"5521","S","G1"
"5522","S","G1S"
"5523","G2M","S"
"5524","S","G1S"
"5525","G1","G1"
"5526","S","G1S"
"5527","G2M","M"
"5528","S","S"
"5529","G1","G1"
"5530","G2M","M"
"5531","G1","G1"
"5532","G1","G1"
"5533","G1","G1"
"5534","S","G1S"
"5535","S","G1"
"5536","G1","G1"
"5537","G1","G1"
"5538","S","G1"
"5539","G2M","M"
"5540","S","G1S"
"5541","G2M","G2"
"5542","G1","G1"
"5543","G1","G1"
"5544","G1","G1"
"5545","S","G1"
"5546","G1","G1"
"5547","S","G1"
"5548","G2M","S"
"5549","G1","M"
"5550","G1","G1"
"5551","G1","G1"
"5552","G1","G1"
"5553","G1","G1"
"5554","G2M","M"
"5555","S","G1S"
"5556","G1","G1S"
"5557","G1","G1"
"5558","G2M","M"
"5559","G2M","G2M"
"5560","G2M","G1S"
"5561","G2M","M"
"5562","G2M","M"
"5563","G2M","M"
"5564","G1","G1"
"5565","G1","G1"
"5566","S","G1"
"5567","G1","G1"
"5568","G1","G1"
"5569","S","G1"
"5570","G2M","G1S"
"5571","G2M","M"
"5572","G1","G1"
"5573","G1","G1S"
"5574","S","G1"
"5575","G1","G1"
"5576","G2M","M"
"5577","S","G1S"
"5578","S","G1"
"5579","G1","G1"
"5580","G2M","M"
"5581","G2M","M"
"5582","G1","G1"
"5583","S","G1"
"5584","G1","G1"
"5585","G1","G1"
"5586","G2M","M"
"5587","S","G1S"
"5588","S","G1S"
"5589","G1","G1"
"5590","G1","G1"
"5591","S","G1S"
"5592","G1","G1"
"5593","G2M","M"
"5594","G1","G1"
"5595","G1","G1"
"5596","S","G1S"
"5597","G1","G1"
"5598","G1","G1"
"5599","S","G1"
"5600","G1","G1"
"5601","G1","G1"
"5602","S","G1S"
"5603","G1","G1"
"5604","G1","G1"
"5605","S","G1"
"5606","G1","G1"
"5607","G2M","G2M"
"5608","G2M","G1S"
"5609","G1","G1S"
"5610","S","G1S"
"5611","S","G1S"
"5612","G2M","G1"
"5613","G1","G1"
"5614","G1","G1"
"5615","S","G1S"
"5616","G1","G1"
"5617","G1","G1"
"5618","G2M","M"
"5619","G1","G1"
"5620","S","G1S"
"5621","G1","G1"
"5622","S","G1S"
"5623","G2M","G2"
"5624","G1","G1"
"5625","S","G1"
"5626","G1","G1"
"5627","G2M","G2"
"5628","G1","G1"
"5629","G2M","G2M"
"5630","G1","G1S"
"5631","G1","G1"
"5632","G1","G1"
"5633","G1","G1"
"5634","S","G1S"
"5635","G1","G1"
"5636","G2M","M"
"5637","G1","G1"
"5638","G1","G1"
"5639","S","G1"
"5640","G1","G1"
"5641","G2M","M"
"5642","S","G1"
"5643","G1","G1"
"5644","S","G1"
"5645","G2M","G2M"
"5646","G1","G1"
"5647","G1","S"
"5648","G2M","M"
"5649","S","G1S"
"5650","S","G1"
"5651","G1","G1"
"5652","S","G1"
"5653","G2M","G1S"
"5654","G1","G1"
"5655","G2M","M"
"5656","G1","G1"
"5657","G1","G1"
"5658","G1","G1"
"5659","S","G1"
"5660","G1","G1"
"5661","G2M","G1S"
"5662","S","G1S"
"5663","G1","G1"
"5664","S","G1S"
"5665","G2M","M"
"5666","G2M","M"
"5667","G1","G1"
"5668","G1","G1"
"5669","G1","G1"
"5670","G2M","M"
"5671","G1","G1"
"5672","G2M","M"
"5673","S","G1S"
"5674","G1","G1"
"5675","S","G1S"
"5676","G2M","M"
"5677","G2M","M"
"5678","G1","G1"
"5679","G1","G1"
"5680","G2M","G2"
"5681","G1","G1"
"5682","G1","G1"
"5683","S","G1"
"5684","G1","M"
"5685","G2M","M"
"5686","G1","G1"
"5687","G1","G1"
"5688","G1","G1"
"5689","G1","G1"
"5690","S","G1"
"5691","G1","G1"
"5692","S","G1"
"5693","S","G1"
"5694","G1","G1"
"5695","S","G1S"
"5696","G2M","G1S"
"5697","G1","G1"
"5698","G2M","G2"
"5699","G1","G1"
"5700","G1","G1"
"5701","S","G1S"
"5702","G2M","G2M"
"5703","G1","G1"
"5704","G2M","M"
"5705","G1","G1"
"5706","S","G1"
"5707","G2M","M"
"5708","G1","G1"
"5709","G1","G1"
"5710","G2M","M"
"5711","G1","G1"
"5712","G1","G1"
"5713","G1","G1"
"5714","G1","G1"
"5715","G1","G1"
"5716","S","G1"
"5717","S","G1"
"5718","G1","G1"
"5719","G1","G1"
"5720","S","G1S"
"5721","G1","G1"
"5722","G1","G1"
"5723","G2M","M"
"5724","G2M","G1"
"5725","G2M","G2M"
"5726","G2M","M"
"5727","G1","G1"
"5728","S","G1S"
"5729","S","G1"
"5730","G1","G1"
"5731","S","G1S"
"5732","G1","G1"
"5733","G2M","G1S"
"5734","G2M","M"
"5735","G2M","M"
"5736","S","G1"
"5737","G1","G1"
"5738","G1","G1"
"5739","S","G1S"
"5740","G2M","M"
"5741","S","G1S"
"5742","S","S"
"5743","S","G1"
"5744","G2M","M"
"5745","G1","G1"
"5746","G1","G1"
"5747","G1","G1"
"5748","S","G1S"
"5749","G2M","M"
"5750","G1","G1"
"5751","G2M","M"
"5752","G1","G1"
"5753","G1","G1"
"5754","G1","G1"
"5755","G2M","M"
"5756","S","G1S"
"5757","S","G2"
"5758","G2M","G2"
"5759","S","G1"
"5760","S","G1S"
"5761","G2M","M"
"5762","S","G1S"
"5763","G1","G1"
"5764","G1","G1"
"5765","G1","G1"
"5766","G1","G1"
"5767","G1","G1"
"5768","G1","G1"
"5769","G1","G1"
"5770","G2M","S"
"5771","G2M","M"
"5772","G1","G1"
"5773","G1","G1"
"5774","S","G1S"
"5775","S","G1S"
"5776","G2M","M"
"5777","S","G1S"
"5778","G1","G1"
"5779","G1","G1"
"5780","G1","G1"
"5781","G1","G1"
"5782","G1","G1"
"5783","G2M","M"
"5784","G2M","M"
"5785","S","G1"
"5786","G1","G1"
"5787","G2M","M"
"5788","G2M","M"
"5789","S","G1S"
"5790","G1","G1"
"5791","S","G1"
"5792","G1","G1"
"5793","G1","G1"
"5794","G2M","M"
"5795","G1","G1"
"5796","G1","G1"
"5797","S","G1S"
"5798","G1","G1"
"5799","G1","G1"
"5800","G2M","M"
"5801","S","G1S"
"5802","G1","G1"
"5803","G2M","G2"
"5804","G1","G1"
"5805","G1","G1"
"5806","S","G1S"
"5807","G1","G1"
"5808","G1","G1"
"5809","G1","G1"
"5810","G2M","M"
"5811","S","G1"
"5812","G1","G1"
"5813","G1","G1"
"5814","S","G1"
"5815","S","G1"
"5816","G1","G1"
"5817","S","G1S"
"5818","G1","G1"
"5819","G2M","M"
"5820","G2M","M"
"5821","G2M","M"
"5822","S","G1"
"5823","G1","G1"
"5824","G1","M"
"5825","G1","G1"
"5826","G1","G1"
"5827","G1","G1"
"5828","G1","G1"
"5829","G1","G1"
"5830","G1","G1"
"5831","G2M","M"
"5832","S","G1S"
"5833","S","G1S"
"5834","G1","G1"
"5835","G1","G1"
"5836","S","G1"
"5837","S","G1"
"5838","G2M","M"
"5839","S","G1"
"5840","G1","G1"
"5841","G1","G1"
"5842","G1","G1"
"5843","G1","G1"
"5844","S","G1S"
"5845","G1","G1"
"5846","G1","G1"
"5847","S","G1S"
"5848","G2M","M"
"5849","S","G1S"
"5850","G1","G1"
"5851","G2M","M"
"5852","G1","G1"
"5853","G1","G1"
"5854","S","G1"
"5855","G1","G1"
"5856","S","G1"
"5857","S","G1S"
"5858","G1","G1"
"5859","G1","G1"
"5860","G2M","M"
"5861","S","G1S"
"5862","G1","G1"
"5863","G1","G1"
"5864","G2M","M"
"5865","S","G1S"
"5866","G2M","G2M"
"5867","G1","G1"
"5868","G1","G1"
"5869","G1","G1"
"5870","G1","G1"
"5871","G2M","G1S"
"5872","S","G1S"
"5873","G1","G1"
"5874","G2M","M"
"5875","G1","G1"
"5876","S","G1"
"5877","G2M","M"
"5878","G1","G1"
"5879","G1","G1"
"5880","G2M","M"
"5881","G1","G1"
"5882","S","G1S"
"5883","G1","G1"
"5884","G1","G1"
"5885","G1","G1"
"5886","G1","G1"
"5887","G1","G1"
"5888","G1","G1"
"5889","G1","G1"
"5890","G1","G1"
"5891","G1","G1"
"5892","S","G1S"
"5893","G1","G1"
"5894","G1","G1"
"5895","S","G1"
"5896","G2M","M"
"5897","G1","G1"
"5898","G1","G1"
"5899","G2M","M"
"5900","G1","G1"
"5901","S","G1"
"5902","G2M","M"
"5903","G1","M"
"5904","G1","G1"
"5905","G1","G1"
"5906","G2M","M"
"5907","G1","G1"
"5908","G1","G1"
"5909","G1","G1"
"5910","G1","G1"
"5911","G1","G1"
"5912","G2M","S"
"5913","G1","G1"
"5914","G2M","M"
"5915","G1","G1"
"5916","G1","G1"
"5917","G2M","G1S"
"5918","S","G1S"
"5919","S","G1S"
"5920","G1","G1"
"5921","G2M","G2M"
"5922","G1","G1"
"5923","G2M","M"
"5924","G1","G1"
"5925","S","G1"
"5926","S","G1S"
"5927","G2M","M"
"5928","G2M","M"
"5929","S","G1"
"5930","G2M","G2M"
"5931","S","G1"
"5932","G1","G1"
"5933","S","G1S"
"5934","G1","G1"
"5935","G2M","M"
"5936","S","G1"
"5937","S","G1S"
"5938","G2M","G1"
"5939","S","G1S"
"5940","S","G1"
"5941","G1","G1"
"5942","G1","G1"
"5943","G1","G1"
"5944","S","G1"
"5945","G1","G1"
"5946","G1","G1"
"5947","G1","G1"
"5948","G1","G1"
"5949","G1","G1"
"5950","G1","G1"
"5951","G2M","G2"
"5952","G1","G1"
"5953","S","G1S"
"5954","G2M","M"
"5955","G1","G1"
"5956","G1","G1"
"5957","G2M","G2"
"5958","G1","G1"
"5959","G1","G1"
"5960","S","G1S"
"5961","S","G1S"
"5962","G1","G1"
"5963","G1","G1"
"5964","S","G1S"
"5965","G1","G1"
"5966","S","G1S"
"5967","S","G1"
"5968","G1","G1"
"5969","G1","G1"
"5970","G1","G1"
"5971","G1","G1"
"5972","S","G1S"
"5973","G1","G1"
"5974","G1","G1"
"5975","G2M","M"
"5976","G2M","G2M"
"5977","G1","G1"
"5978","G1","G1"
