"","Phase","recat"
"321","S","G1S"
"322","G1","G1"
"323","G2M","G2M"
"324","G2M","M"
"325","G2M","M"
"326","S","G1"
"327","G1","G1"
"328","G1","G1"
"329","S","G1"
"330","S","G1S"
"331","G1","G1"
"332","G1","G1"
"333","G2M","G2"
"334","G1","G1"
"335","G1","G1"
"336","G2M","M"
"337","G1","G1"
"338","G2M","M"
"339","S","G1S"
"340","G1","G1"
"341","S","G1"
"342","G1","G1"
"343","G2M","M"
"344","S","G1"
"345","S","G1"
"346","G1","G1"
"347","G2M","M"
"348","S","G1S"
"349","G1","G1"
"350","G2M","M"
"351","S","G1S"
"352","G2M","G2"
"353","G1","G1"
"354","S","G1"
"355","G1","G1"
"356","G1","G1"
"357","G1","G1"
"358","G2M","M"
"359","G1","G1"
"360","G1","G1"
"361","G1","G1"
"362","G2M","M"
"363","G1","G1"
"364","G1","G1"
"365","G1","G1"
"366","G2M","M"
"367","G1","G1"
"368","G1","G1"
"369","G1","G1"
"370","S","G1"
"371","G2M","M"
"372","G2M","G2M"
"373","G1","G1"
"374","G2M","M"
"375","G1","G1"
"376","G1","G1S"
"377","S","G1"
"378","G1","G1"
"379","G1","G1"
"380","G1","G1"
"381","S","G1"
"382","G1","G1"
"383","G1","G1"
"384","S","G1"
"385","S","G1"
"386","S","G1S"
"387","G1","G1"
"388","G1","G1"
"389","G2M","G1S"
"390","G2M","G1"
"391","G1","G1"
"392","G1","G1"
"393","G1","G1S"
"394","G1","G1"
"395","G2M","M"
"396","G2M","M"
"397","G1","M"
"398","S","G1"
"399","S","G1"
"400","G2M","G1"
"401","G2M","M"
"402","G2M","M"
"403","S","G1S"
"404","S","G1"
"405","G1","G1"
"406","G2M","G1"
"407","G2M","G1S"
"408","G1","G1"
"409","G1","G1"
"410","G1","G1"
"411","G1","G1"
"412","S","G1"
"413","G1","G1"
"414","G1","G1"
"415","G1","G1"
"416","G1","G1"
"417","G1","G1"
"418","S","G1S"
"419","S","G1"
"420","S","G1S"
"421","G1","G1"
"422","G2M","M"
"423","S","G1"
"424","G1","G1"
"425","G1","G1"
"426","S","G1"
"427","G1","G1"
"428","S","G1S"
"429","G1","G1"
"430","S","S"
"431","G1","M"
"432","G1","G1"
"433","G1","M"
"434","G1","G1"
"435","G1","G1"
"436","G2M","M"
"437","S","G1S"
"438","G1","G1"
"439","S","G1S"
"440","G1","G1"
"441","G1","G1"
"442","S","G1S"
"443","G1","G1"
"444","S","G1S"
"445","S","G1"
"446","G1","G1"
"447","G1","G1"
"448","S","G1"
"449","G1","G1"
"450","G1","G1"
"451","S","G1S"
"452","G2M","G1"
"453","S","G1S"
"454","G2M","M"
"455","G1","G1"
"456","G2M","M"
"457","G2M","M"
"458","G2M","M"
"459","G1","G1"
"460","S","G1"
"461","G1","G1"
"462","G2M","M"
"463","S","G1"
"464","S","G2"
"465","G1","G1"
"466","G1","G1"
"467","G1","G1"
"468","G1","G1"
"469","G1","G1"
"470","S","G1S"
"471","S","G1"
"472","G1","G1"
"473","G1","G1"
"474","S","G1S"
"475","S","G1"
"476","S","G1"
