"","ccAF","recat"
"5352","Neural G0","G1"
"5353","Neural G0","G1"
"5354","Late G1","G1"
"5355","G1","G1"
"5356","G1","G1"
"5357","G1","G1"
"5358","G1","G1"
"5359","Neural G0","G1"
"5360","G2/M","G2M"
"5361","S","G1S"
"5362","G2/M","G2M"
"5363","Neural G0","G1"
"5364","G2/M","M"
"5365","G2/M","M"
"5366","Neural G0","G1"
"5367","G1","G1"
"5368","G2/M","G1"
"5369","Late G1","G1"
"5370","Neural G0","G1"
"5371","Neural G0","G1"
"5372","Late G1","G1"
"5373","G1","G1"
"5374","G1","G1"
"5375","Neural G0","G1"
"5376","G1","G1"
"5377","Late G1","G1"
"5378","G1","G1"
"5379","G1","G1"
"5380","M/Early G1","M"
"5381","G1","G1"
"5382","Late G1","G1"
"5383","S/G2","M"
"5384","G2/M","M"
"5385","G1","G1"
"5386","G1","G1"
"5387","Late G1","G1"
"5388","Neural G0","G1"
"5389","Neural G0","G1"
"5390","M/Early G1","G1"
"5391","G1","M"
"5392","Neural G0","G1"
"5393","S/G2","M"
"5394","G1","G1"
"5395","G2/M","M"
"5396","S/G2","G2"
"5397","Neural G0","G1"
"5398","G1","G1"
"5399","G1","G1"
"5400","Late G1","G1"
"5401","S","G1"
"5402","M/Early G1","G1"
"5403","M/Early G1","G1"
"5404","Late G1","G1"
"5405","M/Early G1","G1"
"5406","S/G2","M"
"5407","G2/M","M"
"5408","Late G1","G1"
"5409","G1","G1"
"5410","M/Early G1","G1"
"5411","Neural G0","G1"
"5412","Neural G0","G1"
"5413","Late G1","G1"
"5414","G1","G1"
"5415","Late G1","G1"
"5416","G2/M","M"
"5417","G1","G1"
"5418","G1","G1"
"5419","S/G2","G2M"
"5420","Late G1","G1"
"5421","M/Early G1","G1"
"5422","G1","G1"
"5423","G1","G1"
"5424","S","S"
"5425","M/Early G1","M"
"5426","S/G2","M"
"5427","M/Early G1","G1"
"5428","G1","G1"
"5429","M/Early G1","G1"
"5430","G2/M","G2M"
"5431","G1","G1"
"5432","G1","G1"
"5433","S","G1"
"5434","G1","G1"
"5435","S/G2","M"
"5436","S","G1"
"5437","Neural G0","G1"
"5438","S/G2","G1"
"5439","Late G1","G1"
"5440","G2/M","M"
"5441","M/Early G1","G1"
"5442","G1","G1"
"5443","S","G1S"
"5444","G1","G1"
"5445","M/Early G1","G1"
"5446","M/Early G1","G1"
"5447","M/Early G1","G1"
"5448","Neural G0","G1"
"5449","G2/M","G2M"
"5450","S","G1"
"5451","G1","G1"
"5452","G1","G1"
"5453","Neural G0","G1"
"5454","G1","G1"
"5455","Neural G0","G1"
"5456","G1","G1"
"5457","G1","G1"
"5458","S/G2","G2M"
"5459","G1","G1"
"5460","G1","G1"
"5461","S/G2","G2"
"5462","G1","M"
"5463","Neural G0","G1"
"5464","S","G1S"
"5465","M/Early G1","G1"
"5466","G2/M","G2M"
"5467","G2/M","G2M"
"5468","M/Early G1","G1"
"5469","G1","G1"
"5470","G1","G1"
"5471","S","G1"
"5472","G2/M","M"
"5473","M/Early G1","G1"
"5474","M/Early G1","M"
"5475","Neural G0","G1"
"5476","G1","G1"
"5477","M/Early G1","G1"
"5478","G2/M","M"
"5479","G2/M","M"
"5480","Late G1","G1"
"5481","Neural G0","G1"
"5482","G1","G1"
"5483","G1","G1"
"5484","G1","G1"
"5485","Neural G0","G1"
"5486","G1","G1"
"5487","M/Early G1","G1"
"5488","Neural G0","G1"
"5489","G2/M","M"
"5490","Neural G0","G1"
"5491","G2/M","M"
"5492","G2/M","M"
"5493","M/Early G1","G1"
"5494","G2/M","M"
"5495","G1","G1"
"5496","G1","G1"
"5497","G1","G1"
"5498","S","G1S"
"5499","G1","G1"
"5500","G1","G1"
"5501","Neural G0","G1"
"5502","Neural G0","G1"
"5503","G1","G1"
"5504","Neural G0","G1"
"5505","S/G2","M"
"5506","M/Early G1","G1"
"5507","Late G1","G1"
"5508","G1","G1"
"5509","G1","G1"
"5510","G2/M","M"
"5511","G2/M","G1"
"5512","S/G2","G2"
"5513","G1","G1"
"5514","G1","G1"
"5515","G1","G1"
"5516","Late G1","G1"
"5517","Neural G0","G1"
"5518","G1","G1"
"5519","Neural G0","G1"
"5520","G1","G1"
"5521","Neural G0","G1"
"5522","M/Early G1","G1"
"5523","G1","G1"
"5524","G1","G1"
"5525","G1","G1"
"5526","G2/M","M"
"5527","G1","G1"
"5528","G1","G1"
"5529","Neural G0","G1"
"5530","G1","G1"
"5531","S","G1"
"5532","G1","G1"
"5533","Neural G0","G1"
"5534","S","G1"
"5535","S/G2","M"
"5536","Late G1","G1"
"5537","M/Early G1","G1"
"5538","S/G2","G1"
"5539","Neural G0","G1"
"5540","G1","G1"
"5541","M/Early G1","G1"
"5542","Neural G0","G1"
"5543","Neural G0","G1"
"5544","G2/M","M"
"5545","G1","G1"
"5546","S","G1"
"5547","Neural G0","G1"
"5548","M/Early G1","G1"
"5549","G1","G1"
"5550","G1","M"
"5551","G1","G1"
"5552","S","G1"
"5553","G1","G1"
"5554","G2/M","G2M"
"5555","G1","G1"
"5556","Neural G0","G1"
"5557","G2/M","M"
"5558","G1","M"
"5559","M/Early G1","G1"
"5560","Neural G0","G1"
"5561","Neural G0","G1"
"5562","G2/M","M"
"5563","Neural G0","G1"
"5564","G1","S"
"5565","Neural G0","G1"
"5566","S/G2","G2M"
"5567","G1","G1"
"5568","G1","G1"
"5569","M/Early G1","G1"
"5570","Neural G0","G1"
"5571","G1","G1"
"5572","S/G2","G1"
"5573","Late G1","G1"
"5574","Neural G0","G1"
"5575","G1","G1"
"5576","S/G2","G2"
"5577","Late G1","G1"
"5578","G2/M","M"
"5579","M/Early G1","M"
"5580","G1","G1"
"5581","S/G2","G1"
"5582","G1","G1"
"5583","M/Early G1","G1"
"5584","S","G1"
"5585","Late G1","G2M"
"5586","G1","G1"
"5587","G1","G1"
"5588","G1","G1"
"5589","S","G1S"
"5590","Neural G0","G1"
"5591","M/Early G1","G1"
"5592","S/G2","G1"
"5593","G1","G1"
"5594","G2/M","M"
"5595","G1","G1"
"5596","Neural G0","G1"
"5597","Neural G0","G1"
"5598","G1","G1"
"5599","S/G2","G1"
"5600","G2/M","M"
"5601","G1","G1"
"5602","S/G2","G1"
"5603","Neural G0","G1"
"5604","G1","G1"
"5605","G1","G1S"
"5606","G1","G1"
"5607","G1","G1"
"5608","M/Early G1","G1"
"5609","S/G2","G2M"
"5610","Neural G0","G1"
"5611","G1","G1"
"5612","G1","G1"
"5613","Neural G0","G1"
"5614","G1","G1"
"5615","S","G1S"
"5616","G1","G1"
"5617","S/G2","G1"
"5618","G2/M","M"
"5619","G1","G1"
"5620","G1","G1"
"5621","G2/M","M"
"5622","Late G1","G1"
"5623","Late G1","G1"
"5624","Late G1","G1"
"5625","G1","G1"
"5626","G2/M","M"
"5627","S/G2","G1"
"5628","G1","G1"
"5629","Neural G0","G1"
"5630","G1","G1"
"5631","G1","G1"
"5632","G1","G1"
"5633","G2/M","M"
"5634","Neural G0","G1S"
"5635","M/Early G1","G1"
"5636","G1","G1"
"5637","Neural G0","G1"
"5638","G1","G1"
"5639","G2/M","M"
"5640","G1","G1"
"5641","S/G2","G2"
"5642","G1","G1"
"5643","G1","G1"
"5644","G1","G1"
"5645","Neural G0","G1"
"5646","G2/M","M"
"5647","G1","G1S"
"5648","G1","G1"
"5649","Neural G0","G1"
"5650","M/Early G1","G1"
"5651","S/G2","G1"
"5652","G1","G1"
"5653","Neural G0","G1"
"5654","G1","G1"
"5655","Neural G0","G1"
"5656","S/G2","G2M"
"5657","Neural G0","G1"
"5658","Neural G0","G1"
"5659","G1","G1"
"5660","S","G1"
"5661","S","G1"
"5662","G1","G1"
"5663","G1","G1"
"5664","M/Early G1","G1"
"5665","G1","G1"
"5666","G2/M","G2M"
"5667","G1","G1"
"5668","G2/M","M"
"5669","S/G2","M"
"5670","G1","M"
"5671","G1","G1"
"5672","M/Early G1","M"
"5673","Neural G0","G1"
"5674","S/G2","G2"
"5675","G2/M","G1"
"5676","Neural G0","G1"
"5677","S/G2","G1"
"5678","G1","G1"
"5679","Late G1","G1"
"5680","Neural G0","G1"
"5681","G1","G1"
"5682","G1","G1"
"5683","S","G2"
"5684","G2/M","M"
"5685","S","G1S"
"5686","G1","G1"
"5687","Late G1","G1"
"5688","Neural G0","G1"
"5689","G1","G1"
"5690","G1","G1"
"5691","Neural G0","G1"
"5692","G1","G1"
"5693","S","G1"
"5694","G1","G1"
"5695","G2/M","M"
"5696","G1","G1"
"5697","M/Early G1","G1"
"5698","G1","G1"
"5699","Neural G0","G1"
"5700","G1","G1"
"5701","G1","G1"
"5702","G1","G1"
"5703","G2/M","M"
"5704","S/G2","G1"
"5705","M/Early G1","G1"
"5706","Neural G0","G1"
"5707","M/Early G1","G1"
"5708","G1","G1"
"5709","G1","G1"
"5710","G1","G1"
"5711","S","G1"
"5712","G2/M","M"
"5713","G2/M","M"
"5714","S/G2","G1"
"5715","G1","G1"
"5716","Neural G0","G1"
"5717","G1","G1"
"5718","Neural G0","G1"
"5719","G1","G1"
"5720","Neural G0","G2"
"5721","G2/M","M"
"5722","S","G1"
"5723","G1","G1"
"5724","G1","G1"
"5725","S/G2","G2M"
"5726","G1","G1"
"5727","S","G1"
"5728","G1","G1"
"5729","Neural G0","G1"
"5730","Neural G0","G1"
"5731","Late G1","G1"
"5732","G2/M","M"
"5733","G1","G1"
"5734","G1","G1"
"5735","S/G2","G1"
"5736","G1","G1"
"5737","Neural G0","G1"
"5738","M/Early G1","G1"
"5739","G1","G1"
"5740","Neural G0","G1"
"5741","M/Early G1","G1"
"5742","S/G2","G1"
"5743","G1","G1"
"5744","S/G2","S"
"5745","G1","G1"
"5746","G2/M","M"
"5747","G1","G1"
"5748","Neural G0","G1"
"5749","S/G2","M"
"5750","G1","G1"
"5751","S/G2","G1"
"5752","G1","G1"
"5753","G1","G1"
"5754","S/G2","M"
"5755","G1","G1"
"5756","Neural G0","G1"
"5757","S","G1"
"5758","Neural G0","G1"
"5759","S/G2","G2M"
"5760","G2/M","M"
"5761","G1","G1"
"5762","G2/M","G2M"
"5763","S/G2","G1"
"5764","G2/M","M"
"5765","Neural G0","G1"
"5766","S","G1"
"5767","S/G2","G1"
"5768","G2/M","M"
"5769","G1","G1"
"5770","M/Early G1","G1"
"5771","Neural G0","G1"
"5772","M/Early G1","G1"
"5773","G1","G1"
"5774","G1","G1"
"5775","G1","G1"
"5776","S/G2","M"
"5777","G2/M","G2M"
"5778","S/G2","G1"
"5779","G1","G1"
"5780","G1","G1"
"5781","G1","G1"
"5782","G1","G1"
"5783","S/G2","G1"
"5784","G1","G1"
"5785","G1","G1"
"5786","G1","G1"
"5787","M/Early G1","G1"
"5788","Neural G0","G1"
"5789","G1","G1"
"5790","G2/M","M"
"5791","G1","G1"
"5792","Neural G0","G1"
"5793","S/G2","G1"
"5794","G1","G1"
"5795","G2/M","M"
"5796","S","G1"
"5797","S/G2","M"
"5798","S","G1"
"5799","G1","G1"
"5800","M/Early G1","G1"
"5801","S","G1S"
"5802","S","S"
"5803","S/G2","M"
"5804","G2/M","M"
"5805","S/G2","M"
"5806","S","G1"
"5807","S/G2","G1S"
"5808","Neural G0","G1S"
"5809","Late G1","G1"
"5810","M/Early G1","G1"
"5811","S/G2","M"
"5812","G1","G1"
"5813","G2/M","M"
"5814","Neural G0","G1"
"5815","G1","G1"
"5816","G1","G1"
"5817","Neural G0","G1"
"5818","G1","G1"
"5819","G1","G1"
"5820","Neural G0","G1"
"5821","M/Early G1","G1"
"5822","Neural G0","G1"
"5823","G2/M","M"
"5824","G1","G1"
"5825","G2/M","M"
"5826","G2/M","M"
"5827","G1","G1"
"5828","S/G2","G1"
"5829","Neural G0","G1"
"5830","G1","G1"
"5831","G1","G1"
"5832","G2/M","M"
"5833","G1","G1"
"5834","S","G1"
"5835","G1","G1"
"5836","S","G1"
"5837","S","M"
"5838","Late G1","M"
"5839","S/G2","G1S"
"5840","S/G2","G2M"
"5841","M/Early G1","G1"
"5842","S/G2","G2"
"5843","G1","G1"
"5844","Late G1","G1"
"5845","Neural G0","G1"
"5846","S/G2","G1"
"5847","G1","G1"
"5848","G2/M","M"
"5849","Neural G0","G1"
"5850","G1","G1"
"5851","G1","G1"
"5852","S/G2","M"
"5853","Neural G0","G1"
"5854","S/G2","G1"
"5855","Late G1","G1"
"5856","G1","G1"
"5857","Late G1","G1S"
"5858","S/G2","M"
"5859","Late G1","G1"
"5860","G1","G1"
"5861","G1","G1"
"5862","G1","G1"
"5863","Neural G0","G1"
"5864","S/G2","G1"
"5865","S/G2","G2M"
"5866","G2/M","M"
"5867","S/G2","G1"
"5868","M/Early G1","G1"
"5869","Neural G0","G1"
"5870","G1","G1"
"5871","G1","G1"
"5872","Neural G0","G1"
"5873","Neural G0","G1"
"5874","G2/M","M"
"5875","G1","G1"
"5876","S/G2","M"
"5877","G1","G1"
"5878","G2/M","G2M"
"5879","S/G2","G1"
"5880","Neural G0","G1"
"5881","Neural G0","G1"
"5882","M/Early G1","G2M"
"5883","G2/M","G2M"
"5884","M/Early G1","G1"
"5885","S","G1"
"5886","G1","G1"
"5887","M/Early G1","G1"
"5888","M/Early G1","G1"
"5889","S","G1"
"5890","G1","G1"
"5891","Neural G0","G1"
"5892","S/G2","G2M"
"5893","G1","G1"
"5894","G2/M","M"
"5895","G1","G1"
"5896","S/G2","S"
"5897","S","G1"
"5898","S/G2","G1"
"5899","G1","G1"
"5900","G1","G1"
"5901","Neural G0","G1"
"5902","G1","G1"
"5903","S","G1"
"5904","S/G2","G1"
"5905","Neural G0","G1"
"5906","G1","G1"
"5907","G1","G1"
"5908","Late G1","G1"
"5909","Neural G0","G1"
"5910","Neural G0","G1"
"5911","M/Early G1","G1"
"5912","G1","G1"
"5913","S","G1S"
"5914","Late G1","G2M"
"5915","S/G2","G2"
"5916","S/G2","S"
"5917","S","G1"
"5918","G2/M","M"
"5919","Late G1","G1"
"5920","S","G1S"
"5921","G1","G1"
"5922","G1","G1"
"5923","Neural G0","G1"
"5924","Late G1","G1"
"5925","Neural G0","G1"
"5926","Neural G0","G1"
"5927","G1","G1"
"5928","G1","G1"
"5929","S/G2","G1"
"5930","Neural G0","G1"
"5931","Neural G0","G1"
"5932","G1","G1"
"5933","Late G1","G1"
"5934","Neural G0","G1"
"5935","G2/M","G1"
"5936","G1","G1"
"5937","G1","G1"
"5938","G1","G1"
"5939","S/G2","M"
"5940","G1","G1"
"5941","Late G1","G1"
"5942","Neural G0","G1"
"5943","G1","G1"
"5944","M/Early G1","G1"
"5945","S/G2","M"
"5946","G1","G2M"
"5947","S","G1"
"5948","Neural G0","G1"
"5949","G1","G1"
"5950","G2/M","M"
"5951","G1","G1"
"5952","S/G2","G1"
"5953","S/G2","M"
"5954","Late G1","G1"
"5955","S","G1"
"5956","G2/M","G2M"
"5957","Neural G0","G1"
"5958","M/Early G1","G1"
"5959","G2/M","M"
"5960","S/G2","G2M"
"5961","M/Early G1","G1"
"5962","Neural G0","G1"
"5963","G1","G1"
"5964","G1","G1"
"5965","M/Early G1","G1"
"5966","G1","G1"
"5967","G1","G1"
"5968","Late G1","G1"
"5969","G1","G1"
"5970","G1","G1"
"5971","S","G1"
"5972","S","G1"
"5973","G1","G1"
"5974","G1","G1"
"5975","G1","G1"
"5976","G2/M","M"
"5977","M/Early G1","M"
"5978","Neural G0","G1"
"5979","G1","G1"
"5980","G1","G1"
"5981","G1","G1"
"5982","G1","G1"
"5983","G1","G1"
"5984","Neural G0","G1"
"5985","Neural G0","G1"
"5986","G1","G1"
"5987","S/G2","G2"
"5988","G2/M","M"
"5989","M/Early G1","M"
"5990","G1","G1"
"5991","G1","G1"
"5992","G1","G1"
"5993","S/G2","G1"
"5994","G1","G1"
"5995","Late G1","G1"
"5996","Late G1","G1"
"5997","G1","G1"
"5998","S/G2","M"
"5999","G2/M","G2M"
"6000","Late G1","G1"
"6001","Late G1","G1"
"6002","Neural G0","G1"
"6003","G1","G1"
"6004","G1","G1"
"6005","Neural G0","G1"
"6006","S/G2","G1"
"6007","Neural G0","G2"
"6008","Neural G0","G1"
"6009","G1","G1"
"6010","G2/M","M"
"6011","G1","G1"
"6012","G1","G1"
"6013","G1","G1"
"6014","G1","G1"
"6015","G1","G1"
"6016","M/Early G1","G1"
"6017","G1","G1"
"6018","S","G1"
"6019","S/G2","G2"
"6020","G1","G1"
"6021","Neural G0","G1"
"6022","G1","G1"
"6023","G1","G1"
"6024","S/G2","M"
"6025","Late G1","G1"
"6026","G1","G1"
"6027","Neural G0","G1"
"6028","S","G1S"
"6029","G1","G1"
"6030","G1","G1"
"6031","S","G1"
"6032","Neural G0","G1"
"6033","S/G2","M"
"6034","G1","G1"
"6035","G1","G2M"
"6036","G1","G1"
"6037","Late G1","G1"
"6038","G2/M","G1"
"6039","Neural G0","G1"
"6040","Late G1","S"
"6041","G1","G1"
"6042","G2/M","M"
"6043","Late G1","M"
"6044","Late G1","G1"
"6045","G1","M"
"6046","Neural G0","G1"
"6047","G1","G1"
"6048","G1","G1"
"6049","G1","G1"
"6050","G1","G1"
"6051","G1","G1"
"6052","G1","G1"
"6053","Neural G0","G1"
"6054","G1","G1"
"6055","G1","G1"
"6056","G2/M","M"
"6057","G1","G1"
"6058","Neural G0","G1"
"6059","M/Early G1","G1"
"6060","S/G2","G1"
"6061","G1","G1"
"6062","S/G2","M"
"6063","G1","G1"
"6064","Neural G0","G1"
"6065","S","S"
"6066","Neural G0","G1"
"6067","Neural G0","G1"
"6068","G1","G1"
"6069","Neural G0","G1"
"6070","G1","G1"
"6071","Late G1","G1"
"6072","S/G2","G1S"
"6073","S/G2","M"
"6074","S/G2","G2"
"6075","M/Early G1","G1"
"6076","G2/M","M"
"6077","Neural G0","G1"
"6078","M/Early G1","M"
"6079","G1","G1"
"6080","G1","G1"
"6081","G1","G1"
"6082","M/Early G1","M"
"6083","G2/M","G2M"
"6084","G1","G1"
"6085","S","G1"
"6086","M/Early G1","G1"
"6087","G1","G1"
"6088","M/Early G1","M"
"6089","S","G1"
"6090","S/G2","G2M"
"6091","G1","G1"
"6092","S","G1"
"6093","Neural G0","G1"
"6094","G1","G1"
"6095","G1","G1"
"6096","M/Early G1","G1"
"6097","G1","G1"
"6098","S","S"
"6099","S/G2","G1S"
"6100","Neural G0","G1"
"6101","M/Early G1","G1"
"6102","Neural G0","G1"
"6103","S/G2","G2"
"6104","Neural G0","G1"
"6105","G1","G1"
"6106","G1","G1"
"6107","G1","G1"
"6108","G1","G1"
"6109","S/G2","G2M"
"6110","G2/M","G2M"
"6111","G1","G1"
"6112","Neural G0","G1"
"6113","G1","G1"
"6114","G1","G1"
"6115","G1","G1"
"6116","G1","G1"
"6117","Neural G0","G1"
"6118","G1","G1"
"6119","S/G2","S"
"6120","S/G2","G1"
"6121","G1","G1"
"6122","Neural G0","G1"
"6123","M/Early G1","G1"
"6124","G1","G1"
"6125","S/G2","M"
"6126","G2/M","M"
"6127","M/Early G1","G1"
"6128","Neural G0","G1"
"6129","Neural G0","G1"
"6130","M/Early G1","G1"
"6131","Neural G0","G1"
"6132","Neural G0","G1"
"6133","Late G1","G1"
"6134","G1","G1"
"6135","Neural G0","G1"
"6136","M/Early G1","G1"
"6137","Neural G0","G1"
"6138","M/Early G1","G1"
"6139","G1","G1"
"6140","G1","G1"
"6141","G2/M","M"
"6142","G2/M","M"
"6143","M/Early G1","G1"
"6144","S","G1"
"6145","G1","G1"
"6146","G1","G1"
"6147","G2/M","G2M"
"6148","Late G1","M"
"6149","G2/M","M"
"6150","G1","G1"
"6151","G1","G1"
"6152","S","G1S"
"6153","G2/M","M"
"6154","M/Early G1","G1"
"6155","S/G2","G1S"
"6156","Neural G0","G1"
"6157","Neural G0","G1"
"6158","Late G1","G1"
"6159","G1","G2"
"6160","S/G2","M"
"6161","G1","G1"
"6162","Late G1","G1S"
"6163","G1","G1"
"6164","G1","G1"
"6165","G2/M","M"
"6166","G2/M","G2M"
"6167","G1","G1"
"6168","G1","G1"
"6169","G2/M","M"
"6170","Late G1","G1"
"6171","G2/M","M"
"6172","G1","G1"
"6173","S","G1S"
"6174","G2/M","M"
"6175","S","G1"
"6176","G1","G1"
"6177","G1","G1"
"6178","G2/M","G1"
"6179","G1","G1"
"6180","S","G1"
"6181","S/G2","M"
"6182","G2/M","M"
"6183","S/G2","G2M"
"6184","Neural G0","G1"
"6185","G2/M","M"
"6186","Neural G0","G1"
"6187","G1","G1"
"6188","G1","G1"
"6189","G1","G1"
"6190","Neural G0","G1"
"6191","G1","G1"
"6192","G2/M","M"
"6193","G1","G1"
"6194","Neural G0","G1"
"6195","M/Early G1","G1"
"6196","Late G1","G1S"
"6197","G1","G1"
"6198","Neural G0","G1"
"6199","G1","G1"
"6200","G1","G1"
"6201","G1","G1"
"6202","G1","G1"
"6203","S","G1S"
"6204","G1","G1"
"6205","M/Early G1","G1"
"6206","Neural G0","S"
"6207","G1","G1"
"6208","S/G2","G2M"
"6209","S","G1"
"6210","Neural G0","G1"
"6211","G2/M","G2M"
"6212","G1","G1"
"6213","S","G1"
"6214","G1","G1"
"6215","M/Early G1","G1"
"6216","G1","G1"
"6217","M/Early G1","G1"
"6218","G1","G1"
"6219","G1","G1"
"6220","G2/M","M"
"6221","G1","G1"
"6222","G1","G1"
"6223","Neural G0","G1"
"6224","S/G2","G1"
"6225","S/G2","G1"
"6226","G1","G1"
"6227","Neural G0","G1"
"6228","G1","G1"
"6229","Neural G0","G1"
"6230","G2/M","G1"
"6231","Late G1","G1"
"6232","G2/M","M"
"6233","Neural G0","G1"
"6234","G2/M","M"
"6235","Neural G0","G1"
"6236","S/G2","G1"
"6237","S","G1"
"6238","Neural G0","G1"
"6239","M/Early G1","G1"
"6240","G1","G1"
"6241","G1","G1"
"6242","G2/M","M"
"6243","Neural G0","G1"
"6244","G1","G1"
"6245","M/Early G1","M"
"6246","S","G1"
"6247","Neural G0","G1"
"6248","S","G1"
"6249","G1","G1S"
"6250","S/G2","M"
"6251","G1","G1"
"6252","G1","S"
"6253","G1","G1"
"6254","G1","G1"
"6255","G2/M","M"
"6256","G1","G1"
"6257","S/G2","M"
"6258","G1","S"
"6259","G2/M","M"
"6260","Neural G0","G1"
"6261","S/G2","G1"
"6262","G1","G1"
"6263","G1","G1"
"6264","Neural G0","G1"
"6265","G2/M","G1"
"6266","S/G2","M"
"6267","S/G2","G2"
"6268","G2/M","M"
"6269","S/G2","G1"
"6270","Late G1","G1"
"6271","M/Early G1","G1"
"6272","G1","G1"
"6273","G1","G1"
"6274","S","G1"
"6275","G2/M","M"
"6276","G1","G1"
"6277","Neural G0","G1"
"6278","G1","G1"
"6279","S/G2","G1"
"6280","G1","G1"
"6281","G1","G1"
"6282","G1","G2M"
"6283","G1","G1"
"6284","Neural G0","G1"
"6285","G1","G1"
"6286","S/G2","G1"
"6287","Neural G0","G1"
"6288","G2/M","G2"
"6289","Neural G0","G1"
"6290","S/G2","G1"
"6291","G1","G1"
"6292","G1","G1"
"6293","G1","G1"
"6294","Neural G0","G1"
"6295","G1","G1"
"6296","G1","G1"
"6297","S/G2","M"
"6298","Neural G0","G1"
"6299","S/G2","G2M"
"6300","G1","G1"
"6301","M/Early G1","G1"
"6302","S/G2","G2M"
"6303","Late G1","G1"
"6304","G1","G1"
"6305","G1","G1"
"6306","Neural G0","G1"
"6307","G1","G1"
"6308","S/G2","M"
"6309","S/G2","M"
"6310","S","G1S"
"6311","S/G2","G2"
"6312","S/G2","G1"
"6313","Neural G0","G1"
"6314","G1","G1"
"6315","G1","G1"
"6316","M/Early G1","G1"
"6317","G2/M","G2M"
"6318","Neural G0","M"
"6319","Late G1","G1"
"6320","G1","G1"
"6321","Neural G0","G1"
"6322","G1","G1"
"6323","G1","G1"
"6324","G1","G1"
"6325","G1","G1"
"6326","S","G1"
"6327","G2/M","M"
"6328","S","G1"
"6329","G2/M","G1"
"6330","G1","G1"
"6331","G1","G1"
"6332","S/G2","G2M"
"6333","M/Early G1","G1"
"6334","M/Early G1","G1"
"6335","Neural G0","G1"
"6336","G1","G1"
"6337","G1","G1"
"6338","M/Early G1","G1"
"6339","G1","G1"
"6340","S/G2","G1S"
"6341","G1","G1"
"6342","G1","G1"
"6343","G1","G1"
"6344","S","G1"
"6345","G1","G1"
"6346","M/Early G1","M"
"6347","G2/M","M"
"6348","S","G1"
"6349","G1","G1"
"6350","S/G2","G1S"
"6351","G1","G1"
"6352","S","G1"
"6353","S/G2","M"
"6354","G1","G1"
"6355","G1","G1"
"6356","M/Early G1","G1"
"6357","Neural G0","G1"
"6358","Late G1","G1"
"6359","Late G1","G1"
"6360","Late G1","G1"
"6361","M/Early G1","G1"
"6362","G1","G1"
"6363","S/G2","G1S"
"6364","G2/M","M"
"6365","G1","G1"
"6366","G1","G1"
"6367","Neural G0","G1"
"6368","Late G1","S"
"6369","S/G2","G1"
"6370","S/G2","G1"
"6371","S/G2","G1"
"6372","M/Early G1","G1"
"6373","G2/M","M"
"6374","M/Early G1","G1"
"6375","S","G1"
"6376","Neural G0","G1"
"6377","G2/M","M"
"6378","M/Early G1","G1"
"6379","S/G2","G2M"
"6380","G1","G1"
"6381","G2/M","M"
"6382","Neural G0","G1"
"6383","G2/M","M"
"6384","S","G1"
"6385","S/G2","M"
"6386","G2/M","M"
"6387","G1","G1"
"6388","G1","G1"
"6389","G1","G1"
"6390","G1","G1S"
"6391","Neural G0","G1"
"6392","Neural G0","G1"
"6393","G2/M","M"
"6394","G1","G1"
"6395","G1","G1"
"6396","S/G2","S"
"6397","G2/M","M"
"6398","M/Early G1","G1"
"6399","G1","G1"
"6400","G1","G1"
"6401","G1","G1"
"6402","S/G2","G1"
"6403","G1","G1"
"6404","G1","G1"
"6405","S","G1"
"6406","S","G1"
"6407","G1","G1"
"6408","Neural G0","G1"
"6409","G1","G1"
"6410","G1","G1"
"6411","Late G1","G1"
"6412","G1","G2M"
"6413","G2/M","M"
"6414","S","G1"
"6415","M/Early G1","G1"
"6416","Neural G0","M"
"6417","G1","G1"
"6418","G1","G1"
"6419","Neural G0","G1"
"6420","S/G2","G1"
"6421","M/Early G1","G1"
"6422","G1","G1"
"6423","G1","G1"
"6424","G1","G1"
"6425","M/Early G1","G1"
"6426","G1","G1"
"6427","M/Early G1","G1"
"6428","Neural G0","G1"
"6429","G1","G1"
"6430","G1","G1"
"6431","S/G2","G1"
"6432","G1","G1"
"6433","G2/M","M"
"6434","G1","G1"
"6435","S/G2","G1"
"6436","Late G1","G2"
"6437","S/G2","M"
"6438","S/G2","G1"
"6439","Neural G0","G1"
"6440","G1","G1"
"6441","M/Early G1","G1"
"6442","Neural G0","G1"
"6443","S/G2","G1"
"6444","S","G1"
"6445","S/G2","S"
"6446","G1","M"
"6447","G1","G1"
"6448","M/Early G1","G1"
"6449","G1","G1"
"6450","G2/M","M"
"6451","G1","G1"
"6452","Late G1","G1"
"6453","S","G1"
"6454","Neural G0","G1"
"6455","G1","G1"
"6456","Neural G0","G1"
"6457","S","G1"
"6458","G1","G1"
"6459","S/G2","G2M"
"6460","S","G1S"
"6461","S/G2","G1"
"6462","G1","G1"
"6463","Neural G0","G1"
"6464","Neural G0","G1"
"6465","M/Early G1","G1"
"6466","Neural G0","G1"
"6467","S","G1S"
"6468","G1","G1"
"6469","Late G1","G1"
"6470","G1","G1"
"6471","G1","G1"
"6472","G1","G1"
"6473","Neural G0","G1"
"6474","M/Early G1","G1"
"6475","G1","G1"
"6476","G1","G1"
"6477","G1","G1"
"6478","G2/M","M"
"6479","S/G2","G1"
"6480","Neural G0","G1"
"6481","Neural G0","G1"
"6482","S","G1"
"6483","S","G1S"
"6484","G1","G1"
"6485","G1","G1"
"6486","Neural G0","G1"
"6487","Neural G0","G1"
