index1,precision,recall,f1-score,support
G1,0.7093059938162322,0.9158288265328182,0.7990681831309452,115.4
G2/M,0.8766398512722041,0.8774614858825386,0.876037657634291,32.4
Late G1,0.9,0.14942205563315403,0.25385252486538684,20.6
M/Early G1,0.8062027103331451,0.6985264480916655,0.7460044358047526,25.3
Neural G0,0.8842083571100323,0.6795232863634613,0.7654336141783258,51.6
S,0.7230421539245069,0.4388585099111415,0.5422582219593605,21.4
S/G2,0.7650399292781503,0.9371964399477644,0.8410401980105571,33.3
