"","Phase","recat"
"321","S","S"
"322","G1","G1"
"323","G1","G1"
"324","G1","G1"
"325","G2M","M"
"326","G2M","G2M"
"327","G1","G1"
"328","G1","G1"
"329","G2M","M"
"330","G1","G1"
"331","G1","G1"
"332","G1","G1"
"333","S","G1"
"334","G1","G1"
"335","G1","G1"
"336","G1","G1"
"337","G1","G1"
"338","G1","G1"
"339","S","G1"
"340","G2M","M"
"341","G1","G1"
"342","G2M","G2M"
"343","G1","G1"
"344","S","G1"
"345","G2M","M"
"346","G1","G1"
"347","G1","G1"
"348","G2M","G1"
"349","G1","G1"
"350","G2M","M"
"351","S","G1"
"352","S","S"
"353","S","G2M"
"354","S","S"
"355","G1","G1"
"356","G1","G1"
"357","G1","G1"
"358","G1","G1"
"359","S","G1"
"360","G1","G1"
"361","G2M","M"
"362","G1","G1"
"363","G1","G1"
"364","S","G1"
"365","G2M","M"
"366","G2M","M"
"367","S","G1"
"368","G2M","M"
"369","G1","G1"
"370","G1","M"
"371","G1","G1"
"372","S","G1"
"373","S","S"
"374","G1","G1"
"375","G2M","M"
"376","G1","G1"
"377","G2M","G1"
"378","G1","G1"
"379","G1","G1"
"380","G1","G1"
"381","S","G1"
"382","G1","G1"
"383","S","G1S"
"384","G1","G1"
"385","G1","G1"
"386","S","G1"
"387","G1","G1"
"388","G1","G1"
"389","G1","G1"
"390","G1","G1"
"391","G1","G1"
"392","G2M","M"
"393","S","G1S"
"394","G1","G1"
"395","G1","G1"
"396","G1","G1"
"397","S","G2"
"398","S","G1"
"399","G1","G1"
"400","G1","G1"
"401","G1","G1"
"402","G2M","G2"
"403","G2M","G1"
"404","G1","G1"
"405","G1","G1"
"406","G2M","M"
"407","S","G1S"
"408","G1","G1"
"409","S","G1S"
"410","S","G1"
"411","G1","G1"
"412","G1","G1"
"413","G2M","M"
"414","G2M","M"
"415","S","G1"
"416","G1","G1"
"417","G1","G1"
"418","G1","G1"
"419","G1","G1"
"420","S","G1"
"421","G1","G1"
"422","G1","G1"
