index1,precision,recall,f1-score,support
G1,0.9024688074759524,0.6246960165408232,0.7371965972674257,115.4
G2/M,0.9671855921855922,0.6314930293877662,0.7627572590414761,32.4
Late G1,0.9633333333333333,0.20933942165729755,0.3382130476524069,20.6
M/Early G1,0.9202838827838828,0.2891267273006403,0.43587664617203253,25.3
Neural G0,0.9776934087417958,0.46216250058650965,0.6222614447499902,51.6
S,0.9,0.1330508088402825,0.2247043792026623,21.4
S/G2,0.908327922077922,0.4112524656063715,0.5621591641245038,33.3
