index1,precision,recall,f1-score,support
G1,0.7360156731157476,0.875017521345875,0.7990159318801162,115.4
G2/M,0.8528574906193377,0.8599176846545268,0.8550496319946633,32.4
Late G1,0.95,0.20291456752592169,0.32482924384326906,20.6
M/Early G1,0.7486420693838878,0.726692185735664,0.7337551071005708,25.3
Neural G0,0.8512085390475439,0.7021407302865259,0.7677455535911617,51.6
S,0.6396346444756392,0.6067705627705628,0.6189813829315453,21.4
S/G2,0.7703374621397877,0.8960500095350433,0.8264663713853873,33.3
